lg=01 total=82 pages=9
parsed items: 76 (fetched up to page 10)
already in DB (eventCd一致): 54 | NOT in DB (new candidates): 22
  うち 15件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/01_pf17.json
 NEW |  | アナタ・ボリビア | 2026/11/8(日) | 石川県
 NEW |  | 宇崎竜童 | 2026/9/27(日) | 石川県
 NEW |  | Ochunism | 2026/12/11(金) | 石川県
 NEW |  | オレンジスパイニクラブ | 2026/11/28(土) | 石川県
 NEW |  | 音楽堂開館２５周年記念 リサイタルシリーズＶｏｌ | 2026/9/13(日) | 石川県
 NEW |  | 斉藤和義 | 2026/9/27(日) | 石川県
 NEW |  | ＴＨＥカルテット | 2026/9/23(水・祝) | 石川県
 NEW |  | －真天地開闢集団－ジグザグ | 2026/9/11(金) | 石川県
 NEW |  | ＳＨＥ’Ｓ | 2026/11/22(日) | 石川県
 NEW |  | 城下町ダンスホール ～加賀ノ月 夜ヲ踊ル～ | 2026/10/10(土) | 石川県
 NEW |  | ３ｍａｒｋｅｔｓ［ ］ | 2026/11/12(木) | 石川県
 NEW |  | Slow LIVE'26 | 2026/10/3(土) | 石川県
 NEW |  | 竹原ピストル | 2026/10/13(火) | 石川県
 NEW |  | ちゃくら | 2026/9/26(土) | 石川県
 NEW |  | ＴＲＡｅＬＬ | 2026/9/12(土) ・ 2026/9/ | 新潟県／石川県
 NEW |  | Night Tempo | 2026/11/8(日) | 石川県
 NEW |  | ＴＨＥ ＭＯＤＳ | 2026/10/10(土) | 石川県
 NEW |  | 吉田兄弟 | 2026/9/26(土) | 石川県
 NEW |  | ＬＯＶＥＢＩＴＥＳ | 2026/9/19(土) | 石川県
 NEW |  | Ringwanderung | 2026/9/13(日) | 石川県
 NEW |  | Rayflower | 2026/10/17(土) ・ 2026/1 | 石川県／福井県
 NEW |  | ＲＥＢＥＣＣＡ | 2026/11/25(水) | 石川県
