lg=01 total=88 pages=9
parsed items: 79 (fetched up to page 10)
already in DB (eventCd一致): 57 | NOT in DB (new candidates): 22
  うち 18件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/01_pf22.json
 NEW |  | Ochunism | 2026/11/15(日) | 静岡県
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | かりゆし５８ | 2026/12/9(水) | 静岡県
 NEW |  | キュウソネコカミ | 2027/1/16(土) | 静岡県
 NEW |  | こどもの夢いっぱいコンサート２０２６ 静岡 | 2026/11/3(火・祝) | 静岡県
 NEW |  | 斉藤和義 | 2026/10/29(木) | 静岡県
 NEW |  | 沢田研二 | 2026/9/13(日) | 静岡県
 NEW |  | 清水ミチコ | 2026/9/22(火・祝) | 静岡県
 NEW |  | ＳＨＥ’Ｓ | 2026/9/27(日) | 静岡県
 NEW |  | ３ｍａｒｋｅｔｓ［ ］ | 2026/9/11(金) | 静岡県
 NEW |  | 徳永ゆうき | 2026/11/5(木) | 静岡県
 NEW |  | 突破口 | 2026/9/19(土) | 静岡県
 NEW |  | 長渕剛 | 2026/9/13(日) | 静岡県
 NEW |  | 花冷え。 | 2026/11/1(日) | 静岡県
 NEW |  | ハラミちゃん | 2026/10/18(日) | 静岡県
 NEW |  | ばってん少女隊 | 2026/10/12(月・祝) | 静岡県
 NEW |  | Ｍｙ Ｌｉｔｔｌｅ Ｌｏｖｅｒ ☆ Ａｋｋｏ Ｂ | 2026/11/7(土) | 静岡県
 NEW |  | ＭＹＴＨ＆ＲＯＩＤ | 2026/11/1(日) | 静岡県
 NEW |  | MAYSON's PARTY | 2026/10/12(月・祝) | 静岡県
 NEW |  | 山中さわお＆ELPIS | 2026/10/16(金) | 静岡県
 NEW |  | 山本リンダ | 2026/10/27(火) | 静岡県
 NEW |  | Rayflower | 2026/11/3(火・祝) | 静岡県
