lg=01 total=459 pages=46
parsed items: 425 (fetched up to page 47)
already in DB (eventCd一致): 288 | NOT in DB (new candidates): 137
  うち 76件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/01_pf23.json
 NEW |  | Ｉ Ｄｏｎ’ｔ Ｌｉｋｅ Ｍｏｎｄａｙｓ． | 2026/10/11(日) | 愛知県
 NEW |  | あたらよ | 2026/9/12(土) | 愛知県
 NEW |  | 綾戸智恵 | 2026/11/28(土) | 愛知県
 NEW |  | 新居昭乃 | 2026/9/23(水・祝) | 愛知県
 NEW |  | Ａｒａｋｅｚｕｒｉ | 2026/9/16(水) | 愛知県
 NEW |  | Ａｒａｋｅｚｕｒｉ | 2027/1/15(金) | 愛知県
 NEW |  | 杏里 | 2026/11/14(土) | 愛知県
 NEW |  | ＡＲＫ ＢＲＡＳＳ ＆ 松井秀太郎 スター・ウォ | 2026/10/27(火) | 愛知県
 NEW |  | 生田絵梨花 | 2026/9/22(火・祝) | 愛知県
 NEW |  | Ｅｌｅｍｅｎｔ Ｓｉｃｋｓ | 2026/8/11(火・祝) ～ 2026/ | 北海道／東京都／愛知県／大阪府／福岡県
 NEW |  | ＡＣＥ ＣＯＬＬＥＣＴＩＯＮ | 2026/12/4(金) | 愛知県
 NEW |  | 奥田民生 | 2026/9/14(月) | 愛知県
 NEW |  | ｏｓａｇｅ | 2026/10/23(金) | 愛知県
 NEW |  | 尾崎亜美 | 2026/11/1(日) | 愛知県
 NEW |  | 尾崎裕哉 | 2026/9/20(日) | 愛知県
 NEW |  | 尾崎裕哉 | 2026/11/23(月・祝) | 愛知県
 NEW |  | 押尾コータロー | 2026/9/18(金) | 愛知県
 NEW |  | Ochunism | 2026/11/14(土) | 愛知県
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | オレンジスパイニクラブ | 2026/11/21(土) | 愛知県
 NEW |  | 陰陽座 | 2026/9/24(木) | 愛知県
 NEW |  | 加藤大悟 | 2026/9/12(土) | 愛知県
 NEW |  | かりゆし５８ | 2026/12/4(金) | 愛知県
 NEW |  | Ｇａｃｈａｒｉｃ Ｓｐｉｎ | 2026/12/26(土) | 愛知県
 NEW |  | ＧＡＢＡＭＡＲ’Ｓ／ＬｏｒｉＫＥＥｔ／アメノチア | 2026/11/3(火・祝) | 愛知県
