lg=01 total=555 pages=56
parsed items: 512 (fetched up to page 57)
already in DB (eventCd一致): 348 | NOT in DB (new candidates): 164
  うち 78件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/01_pf27.json
 NEW |  | ＩＣＥ ＣＲＥＡＭ ＯＳＡＫＡ | 2026/11/15(日) | 大阪府
 NEW |  | Ｉ Ｄｏｎ’ｔ Ｌｉｋｅ Ｍｏｎｄａｙｓ． | 2026/10/25(日) | 大阪府
 NEW |  | Ａｌｍｉｒｚｉｎｈｏ Ｓｅｒｒａ 大阪公演 | 2026/9/11(金) | 大阪府
 NEW |  | ASH | 2026/9/19(土) | 大阪府
 NEW |  | ＡＮＩＭＥＴＡＬ | 2026/10/23(金) | 大阪府
 NEW |  | ANN WILSON | 2026/11/19(木) | 大阪府
 NEW |  | アンダーグラフ | 2026/9/23(水・祝) | 大阪府
 NEW |  | 杏里 | 2026/9/23(水・祝) | 大阪府
 NEW |  | 弌誠 | 2026/11/3(火・祝) | 大阪府
 NEW |  | 今井翼 | 2026/10/31(土) | 大阪府
 NEW |  | ＥＭＭＴ ｐｒｅ．ＧＯＯＤ ＳＴＵＦＦ！ ｖｏｌ | 2026/9/27(日) | 大阪府
 NEW |  | 梅田サイファー | 2026/9/27(日) | 大阪府
 NEW |  | 梅田サイファー ｘ SPARK!!SOUND!! | 2026/10/2(金) | 大阪府
 NEW |  | UVERworld | 2026/9/25(金) ～ 2026/12 | 東京都／神奈川県／大阪府／和歌山県／福岡県
 NEW |  | ＨＹ | 2027/1/11(月・祝) | 大阪府
 NEW |  | ADRIAN SHERWOOD presents | 2026/9/10(木) | 大阪府
 NEW |  | ＥＸＩＬＥ | 2026/12/6(日) | 大阪府
 NEW |  | Ｅｌｅｍｅｎｔ Ｓｉｃｋｓ | 2026/8/11(火・祝) ～ 2026/ | 北海道／東京都／愛知県／大阪府／福岡県
 NEW |  | ＡＣＥ ＣＯＬＬＥＣＴＩＯＮ | 2026/11/27(金) | 大阪府
 NEW |  | OWV | 2026/9/27(日) | 大阪府
 NEW |  | ＯＳＡＫＡ 太鼓ＥＸＰＯ ２０２６ －太鼓の音は | 2026/11/7(土) | 大阪府
 NEW |  | OSAKA MUSE ＆ サウンドクリエーター  | 2026/9/15(火) | 大阪府
 NEW |  | 小片リサ | 2026/11/3(火・祝) | 大阪府
 NEW |  | 尾崎裕哉 | 2026/9/19(土) | 大阪府
 NEW |  | 尾崎裕哉 | 2026/11/22(日) | 大阪府
