lg=01 total=154 pages=16
parsed items: 142 (fetched up to page 17)
already in DB (eventCd一致): 106 | NOT in DB (new candidates): 36
  うち 23件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/01_pf28.json
 NEW |  | アナタ・ボリビア | 2026/10/16(金) ・ 2026/1 | 京都府／兵庫県
 NEW |  | 綾戸智恵 | 2026/10/3(土) | 兵庫県
 NEW |  | ＡＷＡＪＩＮ Ｆｅｓ ２０２６ | 2026/11/3(火・祝) | 兵庫県
 NEW |  | 石川さゆり | 2026/9/26(土) | 兵庫県
 NEW |  | ＨＹ | 2027/1/10(日) | 兵庫県
 NEW |  | FTISLAND | 2026/9/19(土) | 兵庫県
 NEW |  | Ochunism | 2026/10/24(土) | 兵庫県
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | ＧＯＴＣＨＡＲＯＣＫＡ | 2026/9/19(土) ・ 2026/9/ | 大阪府／兵庫県
 NEW |  | キュウソネコカミ | 2027/1/23(土) | 兵庫県
 NEW |  | ９ｍｍ Ｐａｒａｂｅｌｌｕｍ Ｂｕｌｌｅｔ | 2026/9/27(日) | 兵庫県
 NEW |  | クミコ | 2026/10/10(土) | 兵庫県
 NEW |  | ＣＨＥＭＩＳＴＲＹ | 2026/9/12(土) ・ 2026/9/ | 兵庫県／奈良県
 NEW |  | Kobe Calling 2026 | 2026/8/17(月) ～ 2026/10 | 兵庫県
 NEW |  | Ｇｏｄｉｅｇｏ | 2026/9/12(土) ・ 2026/9/ | 新潟県／兵庫県／長崎県
 NEW |  | Ｇｏｄｉｅｇｏ | 2026/12/19(土) ・ 2026/1 | 兵庫県／福岡県
 NEW |  | 斉藤和義 | 2026/11/5(木) | 兵庫県
 NEW |  | 真田ナオキ コンサート2026 | 2026/9/22(火・祝) | 兵庫県
 NEW |  | Ｔｗｉｓｔ ＆ ＧｏＧｏ Ｐａｒｔｙ Ｖｏｌ．１ | 2026/9/19(土) | 兵庫県
 NEW |  | 徳永英明 | 2026/9/22(火・祝) ・ 2026/ | 兵庫県
 NEW |  | 長渕剛 | 2026/10/13(火) | 兵庫県
 NEW |  | のん | 2026/11/7(土) | 兵庫県
 NEW |  | 氷川きよし | 2026/9/13(日) ・ 2026/9/ | 京都府／兵庫県
 NEW |  | Ｈｙｏｇｏクリスマス・ジャズ・フェスティバル２０ | 2026/12/18(金) | 兵庫県
 NEW |  | billboard classics「斉藤由貴  | 2026/9/17(木) | 兵庫県
