lg=01 total=160 pages=16
parsed items: 159 (fetched up to page 17)
already in DB (eventCd一致): 107 | NOT in DB (new candidates): 52
  うち 36件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/01_pf34.json
 NEW |  | アナタ・ボリビア | 2026/11/2(月) ・ 2026/11 | 岡山県／広島県
 NEW |  | 杏里 | 2026/11/5(木) | 広島県
 NEW |  | 打首獄門同好会 | 2026/12/3(木) | 広島県
 NEW |  | おいしくるメロンパン | 2026/10/3(土) | 広島県
 NEW |  | 大瀬戸千嶋 | 2026/9/26(土) | 広島県
 NEW |  | ｏｓａｇｅ | 2026/10/24(土) | 広島県
 NEW |  | Ochunism | 2026/10/18(日) | 広島県
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | オレンジスパイニクラブ | 2026/10/18(日) | 広島県
 NEW |  | 加藤ミリヤ | 2026/10/24(土) | 広島県
 NEW |  | 河村隆一 | 2026/11/7(土) | 広島県
 NEW |  | Ｇａｌｉｌｅｏ Ｇａｌｉｌｅｉ | 2026/11/20(金) | 広島県
 NEW |  | 岸谷香 | 2026/9/22(火・祝) ・ 2026/ | 鳥取県／広島県
 NEW |  | きのホ。 × ＡＱ ツーマン企画 コトコントン～ | 2026/9/23(水・祝) | 広島県
 NEW |  | キュウソネコカミ | 2026/10/16(金) | 広島県
 NEW |  | ここがラジオの夢番地！ | 2026/9/22(火・祝) | 広島県
 NEW |  | 鼓童 | 2026/9/16(水) | 広島県
 NEW |  | ゴホウビ | 2026/10/31(土) | 広島県
 NEW |  | Ｓｕｒｖｉｖｅ Ｓａｉｄ Ｔｈｅ Ｐｒｏｐｈｅｔ | 2026/10/31(土) | 広島県
 NEW |  | シクラメン | 2026/9/12(土) ・ 2026/9/ | 岡山県／広島県
 NEW |  | ＴＨＥ＆ | 2026/9/21(月・祝) | 広島県
 NEW |  | 杉山清貴 | 2026/11/22(日) ・ 2026/1 | 広島県
 NEW |  | ３ｍａｒｋｅｔｓ［ ］ | 2026/10/3(土) | 広島県
 NEW |  | Ｓｏａｌａ | 2026/11/27(金) | 広島県
 NEW |  | ちゃくら | 2026/11/8(日) | 広島県
