lg=02 total=79 pages=8
parsed items: 78 (fetched up to page 9)
already in DB (eventCd一致): 31 | NOT in DB (new candidates): 47
  うち 7件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/02_pf01.json
 NEW |  | 『旭川演芸祭２０２６』旭川をみんなで盛り上げよう | 2026/11/8(日) | 北海道
 NEW |  | 市原佐都子／Ｑ『キティ』 | 2026/10/31(土) ・ 2026/1 | 北海道
 NEW |  | イッセー尾形の右往沙翁劇場２０２６ ｉｎ 札幌 | 2026/9/22(火・祝) ・ 2026/ | 北海道
 NEW |  | 梅沢富美男劇団 | 2026/10/27(火) ・ 2026/1 | 北海道
 NEW |  | カズキのタネツアー 2026 S4K | 2026/10/11(日) | 北海道
 NEW |  | 桂宮治 全国ツアー２０２６ ～Ｒｅｍｅｍｂｅｒ  | 2026/12/16(水) | 北海道
 NEW |  | 歌舞伎を知って学んで体験しよう！伝統芸能特別体験 | 2026/9/13(日) ・ 2026/9/ | 北海道
 NEW |  | 神田松麻呂独演会ｉｎ札幌 | 2026/9/26(土) | 北海道
 NEW |  | 神田松麻呂 日本縦断講談会 ～赤穂義士伝編～ | 2026/11/14(土) ～ 2027/1 | 北海道／東京都／大阪府／広島県／福岡県
 NEW |  | コンカリーニョ２０周年記念提携企画 昭和レディの | 2026/10/17(土) | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ 演劇企画団体 瓶詰企画 | 2026/11/27(金) ・ 2026/1 | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ ｏｃｏｍｅｎｏｃｏ | 2026/11/6(金) ・ 2026/11 | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ 劇団怪獣無法地帯 | 2026/11/20(金) ～ 2026/1 | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ 劇団新劇場 | 2026/11/6(金) ・ 2026/11 | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ 劇団内臓天国 | 2026/11/20(金) ・ 2026/1 | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ 劇団ｆｉｒｅｗｏｒｋｓ | 2026/10/30(金) ・ 2026/1 | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ 劇団夕結び | 2026/11/27(金) ・ 2026/1 | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ コレット曰く | 2026/10/30(金) ・ 2026/1 | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ さっぽろ学生演劇祭２０ | 2026/10/31(土) ・ 2026/1 | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ 座・れら／札幌ろうあ劇 | 2026/11/6(金) ・ 2026/11 | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ 弦巻楽団 | 2026/10/30(金) ・ 2026/1 | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ トランク機械シアター | 2026/11/5(木) ～ 2026/11 | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ 長谷川恒希のひとり芝居 | 2026/11/14(土) ・ 2026/1 | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ 星くずロンリネス | 2026/11/5(木) ～ 2026/11 | 北海道
 NEW |  | 札幌劇場祭ＴＧＲ２０２６ 北海道二期会 | 2026/11/28(土) | 北海道
