lg=02 total=125 pages=13
parsed items: 108 (fetched up to page 14)
already in DB (eventCd一致): 80 | NOT in DB (new candidates): 28
  うち 7件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/02_pf23.json
 NEW |  | カズキのタネツアー 2026 S4K | 2026/11/1(日) | 愛知県
 NEW |  | 桂文珍独演会 | 2026/9/12(土) | 愛知県
 NEW |  | 桂宮治 全国ツアー ２０２６ ～Ｒｅｍｅｍｂｅｒ | 2026/10/4(日) | 愛知県
 NEW |  | 銀シャリ単独ライブ２０２６「ベシャリの帝王 萬才 | 2026/8/28(金) ～ 2026/12 | 宮城県／東京都／愛知県／兵庫県／福岡県
 NEW |  | 劇団四季「オペラ座の怪人」／名古屋 | 2026/9/6(日) ～ 2026/9/2 | 愛知県
 NEW |  | 最強！ものまねフェスｉｎ名古屋 | 2027/1/8(金) | 愛知県
 NEW |  | さかえ狂言御洒落会 | 2026/7/12(日) ・ 2026/8/ | 愛知県
 NEW |  | 三代目林家菊丸独演会２０２６～上方人情噺の世界～ | 2026/11/28(土) | 愛知県
 NEW |  | 三遊亭東村山ひとり会ｖｏｌ．１～かちがわ若手落語 | 2026/12/20(日) | 愛知県
 NEW |  | ３０－ＤＥＬＵＸ ＮＥＸＴ ＳＴＡＧＥ ＴＨＥＡ | 2026/9/26(土) ～ 2026/10 | 埼玉県／東京都／愛知県／大阪府
 NEW |  | 神韻日本公演2027 | 2027/4/13(火) ・ 2027/4/ | 愛知県
 NEW |  | 清水ミチコ ＴＡＬＫ＆ＬＩＶＥ ２０２６ | 2026/10/10(土) | 愛知県
 NEW |  | ソーゾーシー ＴＯＵＲ ２０２６ | 2026/10/25(日) | 愛知県
 NEW |  | 立川志の太郎 春風亭昇羊ふたり会 | 2026/9/26(土) | 愛知県
 NEW |  | 立川談春 独演会 ２０２６ 秋 | 2026/10/22(木) | 愛知県
 NEW |  | チャイコフスキー・バレエ劇場「くるみ割り人形」（ | 2026/12/22(火) | 愛知県
 NEW |  | ＣＨＯＣＯＬＡＴＥ ＰＬＡＮＥＴ ＬＩＶＥ ＴＯ | 2026/8/6(木) ～ 2026/9/2 | 北海道／秋田県／福島県／東京都／石川県／愛知県／京都府／山口県／高知県／長崎県／沖縄県
 NEW |  | ニューヨーク単独ライブ「ニューヨークの横からシツ | 2026/10/30(金) | 愛知県
 NEW |  | 林家つる子名古屋独演会「つる子のラクゴ☆スマイル | 2026/9/12(土) | 愛知県
 NEW |  | ＶＩＳＵＡＬ ＳＯＵＮＤ ＭＯＶＥＭＥＮＴ 水  | 2026/12/19(土) | 愛知県
 NEW |  | 松浦航大歌まねＳＰソロコンサート２０２６ｉｎアイ | 2026/9/12(土) | 愛知県
 NEW |  | ミキ漫2026全国ツアー | 2026/9/19(土) ～ 2026/11 | 北海道／福島県／長野県／愛知県／鳥取県
 NEW |  | ミュージカルコンサート Ｊｅｗｅｌ ＢｏｘIII | 2026/10/24(土) ・ 2026/1 | 愛知県
 NEW |  | １０ｔｈ ＡＮＮＩＶＥＲＳＡＲＹ ミュージカル「 | 2026/10/23(金) ～ 2026/1 | 東京都／愛知県／大阪府
 NEW |  | ゆめたろう寄席「初春の会」 | 2027/3/6(土) | 愛知県
