lg=02 total=273 pages=28
parsed items: 191 (fetched up to page 29)
already in DB (eventCd一致): 138 | NOT in DB (new candidates): 53
  うち 14件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/02_pf27.json
 NEW |  | あっちこっちカンパニ～ | 2026/7/5(日) ・ 2026/9/2 | 宮城県／大阪府／愛媛県
 NEW |  | 大槻能楽堂自主公演能 能の魅力を探るシリーズ | 2026/9/27(日) | 大阪府
 NEW |  | オジサンズ８全国ツアー～今年もあなたの街に逢いに | 2026/7/1(水) ・ 2026/9/1 | 東京都／大阪府／熊本県
 NEW |  | 『海底骨歌』 | 2026/9/11(金) ～ 2026/10 | 東京都／大阪府／山口県
 NEW |  | カズキのタネツアー 2026 S4K | 2026/10/17(土) | 大阪府
 NEW |  | 桂二葉独演会 | 2026/9/20(日) | 大阪府
 NEW |  | 桂二葉 独演会 | 2026/10/11(日) | 大阪府
 NEW |  | 桂文珍 独演会 ＪＡＰＡＮ ＴＯＵＲ ～一期一笑 | 2026/11/20(金) | 大阪府
 NEW |  | 桂宮治 全国ツアー ２０２６ ～Ｒｅｍｅｍｂｅｒ | 2026/9/25(金) | 大阪府
 NEW |  | 神田松麻呂 日本縦断講談会 ～赤穂義士伝編～ | 2026/11/14(土) ～ 2027/1 | 北海道／東京都／大阪府／広島県／福岡県
 NEW |  | ガクテンソク単独ライブツアー2026「九分九厘」 | 2026/10/18(日) | 大阪府
 NEW |  | 菊満開寄席 錦秋大江戸落語会 江戸落語特選シリー | 2026/11/22(日) | 大阪府
 NEW |  | キーウ・クラシック・バレエ | 2026/11/21(土) ・ 2026/1 | 京都府／大阪府／奈良県
 NEW |  | 熊川哲也 Ｋ－ＢＡＬＬＥＴ ＴＯＫＹＯ Ａｕｔｕ | 2026/10/9(金) ・ 2026/10 | 大阪府
 NEW |  | KURUMU OKAMIYA 1st CONCE | 2026/9/26(土) ・ 2026/9/ | 大阪府
 NEW |  | ケーシーハシモト スタンダップコメディーＬＩＶＥ | 2026/11/29(日) | 大阪府
 NEW |  | 劇団壱劇屋本公演 | 2026/11/20(金) ～ 2026/1 | 大阪府
 NEW |  | 劇団四季ファミリーミュージカル「はじまりの樹の神 | 2026/10/25(日) | 大阪府
 NEW |  | 劇団四季ミュージカル『ノートルダムの鐘』／大阪 | 2026/9/1(火) ～ 2026/9/2 | 大阪府
 NEW |  | こまつ座第161回公演 『兄おとうと』 | 2026/11/3(火・祝) | 大阪府
 NEW |  | KOYABU SONIC 2026 | 2026/9/21(月・祝) ・ 2026/ | 大阪府
 NEW |  | 佐久間一行ＬＩＶＥ ＴＯＵＲ２０２６ー２０２７「 | 2026/11/6(金) | 大阪府
 NEW |  | サンケイホールブリーゼ米朝一門落語会シリーズ２０ | 2026/10/12(月・祝) | 大阪府
 NEW |  | ３０－ＤＥＬＵＸ ＮＥＸＴ ＳＴＡＧＥ ＴＨＥＡ | 2026/9/26(土) ～ 2026/10 | 埼玉県／東京都／愛知県／大阪府
 NEW |  | 神韻日本公演2027 | 2027/4/20(火) ～ 2027/4/ | 大阪府
