lg=02 total=102 pages=11
parsed items: 73 (fetched up to page 12)
already in DB (eventCd一致): 52 | NOT in DB (new candidates): 21
  うち 5件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/02_pf40.json
 NEW |  | 市原佐都子／Ｑ 『キティ』 | 2026/9/26(土) | 福岡県
 NEW |  | エンターテインメントフェスティバル２０２６ ｉｎ | 2026/10/17(土) | 福岡県
 NEW |  | 大濠公園能楽堂 開館４０周年記念公演 能「道成寺 | 2026/10/11(日) | 福岡県
 NEW |  | 神田松麻呂 日本縦断講談会 ～赤穂義士伝編～ | 2026/11/14(土) ～ 2027/1 | 北海道／東京都／大阪府／広島県／福岡県
 NEW |  | 銀シャリ単独ライブ２０２６「ベシャリの帝王 萬才 | 2026/8/28(金) ～ 2026/12 | 宮城県／東京都／愛知県／兵庫県／福岡県
 NEW |  | 『九月博多座特別公演 坂東玉三郎 出演』 | 2026/9/4(金) ～ 2026/9/1 | 福岡県
 NEW |  | サルゴリラのコントと旅２０２６ | 2026/11/28(土) | 福岡県
 NEW |  | シナモロールワンダートリップ ～消えた魔法の秘密 | 2026/10/10(土) ・ 2026/1 | 福岡県
 NEW |  | 春風亭一之輔のドッサりまわるぜ２０２６ | 2026/9/20(日) | 福岡県
 NEW |  | 新国立劇場バレエ団 ロンドン公演凱旋企画 「ジゼ | 2026/11/14(土) ・ 2026/1 | 福岡県
 NEW |  | １０／１６新作『天ノ鳥船』 １０／２０『ふた花』 | 2026/10/16(金) ・ 2026/1 | 福岡県
 NEW |  | 立川生九郎落語ＳＨＯＷ ｉｎ福岡 | 2026/11/2(月) | 福岡県
 NEW |  | 立川談春 独演会 | 2026/9/22(火・祝) | 福岡県
 NEW |  | 「第三舞台2026」『パレイドリア』 | 2026/9/26(土) ・ 2026/9/ | 福岡県
 NEW |  | ＤａｎｃｅＳｈｏｗｃａｓｅ ２０２６ ｉｎ Ｋｉ | 2026/11/29(日) | 福岡県
 NEW |  | チャイコフスキー・バレエ劇場「くるみ割り人形」（ | 2026/12/15(火) | 福岡県
 NEW |  | ニューヨーク単独ライブ「ニューヨークの横からシツ | 2026/10/16(金) | 福岡県
 NEW |  | 博多新劇座 共通券 | 2026/1/1(木・祝) ～ 2026/1 | 
 NEW |  | 爆笑お笑いライブ | 2026/9/19(土) | 福岡県
 NEW |  | 柳家花緑・桂春蝶 二人会 | 2026/12/19(土) | 福岡県
 NEW |  | Ｌｏｖｅ Ｍｅ Ｄｏの開運・占いトークライブ！『 | 2026/9/19(土) ～ 2026/10 | 青森県／新潟県／石川県／福岡県／鹿児島県
