lg=04 total=57 pages=6
parsed items: 54 (fetched up to page 7)
already in DB (eventCd一致): 27 | NOT in DB (new candidates): 27
  うち 0件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/04_all.json
 NEW |  | あさひ名画座第４３弾「東京物語」 | 2026/10/3(土) | 神奈川県
 NEW |  | 「あの日見た花の名前を僕達はまだ知らない。」15 | 2026/9/19(土) | 埼玉県
 NEW |  | 映画「エリカ３８」上映会＆日比遊一監督トークイベ | 2026/10/29(木) | 愛知県
 NEW |  | 「お終活３ 幸春！人生メモリーズ」 | 2026/9/12(土) ～ 2026/10 | 福岡県
 NEW |  | Ｋｕｋａｋｕ映画会 ＴＯＫＹＯタクシー | 2026/9/27(日) | 大阪府
 NEW |  | 桜坂劇場２０２６年映画鑑賞券 | 2026/9/1(火) ～ 2026/9/3 | 沖縄県
 NEW |  | ３５ｍｍフィルム映画上映会「張込み」 | 2026/10/24(土) | 東京都
 NEW |  | ３５ｍｍフィルム映画上映会「真昼の暗黒」 | 2026/10/24(土) | 東京都
 NEW |  | サンリーアイ名画シアター（お終活３ 幸春！人生メ | 2026/9/29(火) | 福岡県
 NEW |  | ～空飛ぶ紙芝居～スパイスアーサー７０２ 「フリー | 2026/10/16(金) ・ 2026/1 | 東京都
 NEW |  | 第５６回サロンシネマ東京タクシー上映会 | 2026/10/19(月) | 奈良県
 NEW |  | 第五福竜丸 | 2026/9/20(日) | 神奈川県
 NEW |  | 第１１話・第１２話先行上映イベント ～片田舎のお | 2026/9/12(土) | 東京都
 NEW |  | TVアニメ『忘却バッテリー』第1期振り返り上映会 | 2026/7/19(日) ～ 2026/9/ | 東京都
 NEW |  | 『東京リベンジャーズ』三天戦争編放送直前威弁斗～ | 2026/9/21(月・祝) | 大阪府
 NEW |  | ねこ★ねこ映画上映会 ドキュメンタリー映画 １０ | 2026/9/23(水・祝) | 東京都
 NEW |  | 第４８回ぴあフィルムフェスティバル Ｔシャツ引換 | 2026/9/18(金) ～ 2026/9/ | 東京都
 NEW |  | 第４８回ぴあフィルムフェスティバル（ＰＦＦ） | 2026/9/18(金) ～ 2026/9/ | 東京都
 NEW |  | ＰＦＦアワード２０２６受賞作上映 | 2026/10/14(水) ・ 2026/1 | 東京都
 NEW |  | 福武レジャー券９月～１１月有効券 | 2026/9/1(火) ～ 2026/11/ | 
 NEW |  | 松本シネマライツ共通鑑賞券 ９月－１１月券 | 2026/9/1(火) ～ 2026/11/ | 
 NEW |  | マドリード王立劇場 シネマステージ「アドリアーナ | 2026/9/17(木) | 岡山県
 NEW |  | ミニシアター回数券 | 2026/9/1(火) ～ 2026/11/ | 
 NEW |  | ミニシアター共通券９／１～１１／３０ | 2026/9/1(火) ～ 2026/11/ | 
 NEW |  | 令和８年度優秀映画鑑賞推進事業 名画鑑賞会 ～時 | 2026/10/15(木) | 神奈川県
