lg=07 total=196 pages=20
parsed items: 172 (fetched up to page 21)
already in DB (eventCd一致): 66 | NOT in DB (new candidates): 106
  うち 9件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/07_pf14.json
 NEW |  | アレクサンドル・カントロフ ピアノ・リサイタル  | 2026/11/30(月) | 神奈川県
 NEW |  | アンドレアス・シュタイアー チェンバロで奏でるゴ | 2026/11/23(月・祝) | 神奈川県
 NEW |  | 飯田商店ｐｒｅｓｅｎｔｓ 古澤巖・ヴァイオリンの | 2026/10/8(木) | 神奈川県
 NEW |  | 五十嵐紅｜ギターと静寂『秋』 | 2026/11/8(日) | 神奈川県
 NEW |  | 五十嵐紅｜ギターと静寂 特別公演『バロック』 | 2026/11/4(水) | 神奈川県
 NEW |  | 五十嵐紅トリオ｜クリスマス 2026 | 2026/12/9(水) | 神奈川県
 NEW |  | 五十嵐紅トリオ｜ジブリ 2026 | 2026/10/16(金) | 神奈川県
 NEW |  | 石田組 コンサートツアー2026 | 2026/10/28(水) | 神奈川県
 NEW |  | 石田泰尚（ｖｌ）／角田鋼亮（指揮）／神奈川フィル | 2026/11/11(水) | 神奈川県
 NEW |  | 石田泰尚プロデュース「サロン ｄｅ ストリングス | 2026/10/21(水) | 神奈川県
 NEW |  | 第九＆運命 ～ウクライナ国立歌劇場管弦楽団～ | 2026/12/28(月) | 神奈川県
 NEW |  | うたシリーズ ドイツ歌曲の森 ｖｏｌ．２ 入門講 | 2026/10/13(火) | 神奈川県
 NEW |  | うたシリーズ ドイツ歌曲の森 ｖｏｌ．２ 入門講 | 2026/12/15(火) | 神奈川県
 NEW |  | 宇宙戦艦ヤマト祭り≪YAMATO ＆ VILLA | 2026/10/3(土) | 神奈川県
 NEW |  | Ｎ響メンバーによる弦楽トリオ | 2026/10/11(日) | 神奈川県
 NEW |  | 小笠原伸子（ｖｌ） | 2026/9/18(金) | 神奈川県
 NEW |  | 折原麻美 ヴィオールとともに響いて ＶＯＬ．１ | 2027/1/21(木) | 神奈川県
 NEW |  | オルガネッタとアコーディオン | 2026/11/25(水) | 神奈川県
 NEW |  | 第１２回 オルガン・１アワーコンサート モーリス | 2026/9/18(金) | 神奈川県
 NEW |  | 音楽堂ホリデーアフタヌーンコンサート2026後期 | 2026/9/13(日) ～ 2027/1/ | 神奈川県
 NEW |  | 加古隆(p) | 2026/11/14(土) | 神奈川県
 NEW |  | 神奈川フィルハーモニー管弦楽団 Ｆｏｒ Ｆｕｔｕ | 2026/10/3(土) | 神奈川県
 NEW |  | 神奈川フィルハーモニー管弦楽団 みなとみらいシリ | 2026/10/10(土) | 神奈川県
 NEW |  | 神奈川フィルハーモニー管弦楽団 ヨコハマ・ネクス | 2026/9/23(水・祝) | 神奈川県
 NEW |  | 金沢区民フィルハーモニーオーケストラ第３１回定期 | 2026/9/13(日) | 神奈川県
