lg=07 total=28 pages=3
parsed items: 28 (fetched up to page 4)
already in DB (eventCd一致): 9 | NOT in DB (new candidates): 19
  うち 2件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/07_pf20.json
 NEW |  | アンドレアス・シュタイアー×八ヶ岳カラマツ・チェ | 2026/11/14(土) | 長野県
 NEW |  | 五十嵐紅｜ギターと静寂『秋』 | 2026/9/10(木) | 長野県
 NEW |  | 大森晶子（ｐ） | 2026/11/23(月・祝) | 長野県
 NEW |  | 河村尚子 ピアノ・リサイタル | 2026/9/25(金) | 長野県
 NEW |  | 菊池亮太（ｐ） | 2026/10/24(土) | 長野県
 NEW |  | 品川 聖 ヴィオラ・ダ・ガンバソロ・ツアー２０２ | 2026/10/10(土) | 長野県
 NEW |  | 信州ルネッサンス２０２６ フレッチェッテオータム | 2026/10/31(土) | 長野県
 NEW |  | スーホの白い馬～馬頭琴の伝説 | 2026/10/30(金) | 長野県
 NEW |  | 千住真理子 ヴァイオリン・リサイタル | 2026/10/2(金) ・ 2026/10 | 長野県
 NEW |  | 反田恭平 10th アニバーサリースペシャルコン | 2026/12/1(火) | 長野県
 NEW |  | 「ドラゴンクエスト」ウインドオーケストラコンサー | 2026/10/12(月・祝) | 長野県
 NEW |  | 仲道郁代 ピアノ・リサイタル | 2026/11/20(金) ・ 2026/1 | 長野県
 NEW |  | 服部百音（ｖｌ） | 2026/9/26(土) | 長野県
 NEW |  | 浜匡子と仲間たち ヴィヴァルディ四季コンサート | 2026/10/24(土) | 長野県
 NEW |  | 廣津留すみれ ヴァイオリン・リサイタル | 2026/12/19(土) ・ 2026/1 | 長野県
 NEW |  | ユッカ＝ペッカ・サラステ指揮 ヘルシンキ・フィル | 2026/10/17(土) | 長野県
 NEW |  | みんなの音楽会 彌勒忠史・金子三勇士デュオリサイ | 2026/11/21(土) | 長野県
 NEW |  | 吉田兄弟 －極生－ ｉｎ 八ヶ岳 | 2026/9/12(土) | 長野県
 NEW |  | ルートヴィヒ・チェンバー・プレイヤーズ・シュトゥ | 2026/11/10(火) | 長野県
