lg=07 total=49 pages=5
parsed items: 47 (fetched up to page 6)
already in DB (eventCd一致): 27 | NOT in DB (new candidates): 20
  うち 1件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/07_pf22.json
 NEW |  | 大木麻理「Ｊ．Ｓ．バッハ／オルガン作品全曲演奏シ | 2026/10/9(金) | 静岡県
 NEW |  | 大瀧拓哉（ｐ） | 2026/9/26(土) | 静岡県
 NEW |  | 親子のためのクラシックコンサート「音楽の絵本」 | 2026/9/12(土) | 静岡県
 NEW |  | 親子のためのクラシックコンサート 音楽の絵本～エ | 2026/9/27(日) | 静岡県
 NEW |  | 金子三勇士（ｐ） | 2026/9/26(土) | 静岡県
 NEW |  | Ｃｏｃｏｍｉ×山中惇史×カルテット ＣＯＮＣＥＲ | 2026/9/19(土) | 静岡県
 NEW |  | 竹内弦楽四重奏団 | 2026/9/12(土) ・ 2026/9/ | 東京都／静岡県
 NEW |  | 第８回ギター音楽会「秋会」～ソロコンサート～ | 2026/11/21(土) | 静岡県
 NEW |  | 特別演奏会「プライズウィナーの響演」 | 2026/9/18(金) | 静岡県
 NEW |  | 中川優芽花（ｐ） | 2026/11/14(土) | 静岡県
 NEW |  | 仲道郁代（ｐ） | 2026/10/4(日) | 静岡県
 NEW |  | 信末碩才×柳谷信 ホルンデュオ Ｂｅｙｏｎｄ ｔ | 2026/9/21(月・祝) ～ 2026/ | 東京都／静岡県／愛知県／大阪府
 NEW |  | ヒビキｐｉａｎｏ | 2026/10/24(土) | 静岡県
 NEW |  | 富士山静岡交響楽団 第１３９回定期演奏会＜静岡公 | 2026/11/28(土) | 静岡県
 NEW |  | 富士山静岡交響楽団 第１４０回定期演奏会＜静岡公 | 2027/2/20(土) | 静岡県
 NEW |  | 富士山静岡交響楽団 第１３８回定期演奏会＜浜松公 | 2026/10/24(土) | 静岡県
 NEW |  | 富士山静岡交響楽団 第１４０回定期演奏会＜浜松公 | 2027/2/21(日) | 静岡県
 NEW |  | Ｐｌａｙｓ ガーシュイン ｖｏｌ．１３ ～シンフ | 2026/9/12(土) | 静岡県
 NEW |  | ユッカ＝ペッカ・サラステ指揮 ヘルシンキ・フィル | 2026/10/16(金) | 静岡県
 NEW |  | レオナルド・ヒルスドルフ：旧世界からブラジルへ  | 2026/10/4(日) ・ 2026/10 | 静岡県／愛知県
