lg=07 total=71 pages=8
parsed items: 69 (fetched up to page 9)
already in DB (eventCd一致): 30 | NOT in DB (new candidates): 39
  うち 4件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep0101_0909/07_pf40.json
 NEW |  | アクロス・ランチタイムコンサート ｖｏｌ．１１９ | 2026/9/24(木) | 福岡県
 NEW |  | アクロス・ランチタイムコンサート ｖｏｌ．１２０ | 2026/10/12(月・祝) | 福岡県
 NEW |  | アルトクレフコンサートＶｏｌ．１８ 小川典子ピア | 2026/10/14(水) | 福岡県
 NEW |  | 五十嵐紅トリオ｜クリスマス 2026 | 2026/12/19(土) | 福岡県
 NEW |  | 五十嵐紅トリオ｜ジブリ 2026 | 2026/10/24(土) | 福岡県
 NEW |  | 石田組 コンサートツアー2026 | 2026/10/24(土) | 福岡県
 NEW |  | ウィーン・ヨハン・シュトラウス管弦楽団 ニューイ | 2027/1/6(水) | 福岡県
 NEW |  | 碓井貴美子ピアノリサイタル | 2026/10/12(月・祝) | 福岡県
 NEW |  | 小曽根真 “クラシック×ジャズ”２０２６ ～ ゲ | 2026/10/28(水) | 福岡県
 NEW |  | 管弦楽団紬 第２９回定期演奏会 | 2026/9/20(日) | 福岡県
 NEW |  | ガボール・タカーチ＝ナジ(指揮)／藤田真央(ピア | 2026/10/13(火) | 福岡県
 NEW |  | ２０２６北九州国際音楽祭／華麗なる名曲とオペラ『 | 2026/10/10(土) | 福岡県
 NEW |  | ２０２６北九州国際音楽祭／サロン・コンサート 山 | 2026/11/10(火) | 福岡県
 NEW |  | ２０２６北九州国際音楽祭／西山まりえ［チェンバロ | 2026/10/26(月) | 福岡県
 NEW |  | ２０２６北九州国際音楽祭／服部百音 ヴァイオリン | 2026/9/23(水・祝) | 福岡県
 NEW |  | ２０２６北九州国際音楽祭／マイスター・アールト× | 2026/11/21(土) | 福岡県
 NEW |  | ２０２６北九州国際音楽祭／毛利文香［ヴァイオリン | 2026/10/3(土) | 福岡県
 NEW |  | 北九州聖楽研究会定期演奏会 シューマン ミサ・サ | 2026/9/20(日) | 福岡県
 NEW |  | 九州管楽合奏団 名曲コンサート～吹奏楽コンクール | 2026/9/26(土) | 福岡県
 NEW |  | 九州交響楽団 第九（北九州） | 2026/12/20(日) | 福岡県
 NEW |  | 九州交響楽団 第九（福岡） | 2026/12/18(金) | 福岡県
 NEW |  | 九州交響楽団 第４４３回定期演奏会 | 2026/10/7(水) | 福岡県
 NEW |  | Ｑｕａｒｔｅｔ Ｅｘｐｌｌｏｃｅ | 2026/11/6(金) | 福岡県
 NEW |  | 空音唱ＣＯＮＣＥＲＴ２０２６福岡公演 | 2026/11/23(月・祝) | 福岡県
 NEW |  | 小林知弘と仲間たち 映画音楽コンサート | 2026/11/1(日) | 福岡県
