lg=02 total=404 pages=41
parsed items: 316 (fetched up to page 42)
already in DB (eventCd一致): 283 | NOT in DB (new candidates): 33
  うち 13件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_02_0905.json
 NEW | 2026/9/24 | 朝日名人会 第２６４回 | 2026/11/21(土) | 東京都
 NEW | 2026/9/16 | 綾小路きみまろ爆笑スーパーライブ ｉｎ 箕面 | 2026/12/13(日) | 大阪府
 NEW | 2026/9/9 | 市川團十郎特別公演≪３階左右列見切れ席≫ | 2026/10/3(土) ～ 2026/10 | 京都府
 NEW | 2026/9/11 | 桂米團治 独演会 | 2027/1/22(金) | 岡山県
 NEW | 2026/9/16 | 倉敷の子どもたちに贈るドリームシアター イーハト | 2026/12/26(土) | 岡山県
 NEW | TODAY | 劇団フルーツバスケット第３３回オリジナルミュージ | 2026/12/26(土) ・ 2026/1 | 北海道
 NEW | TODAY | 神戸新開地・喜楽館 １１月【昼席】 | 2026/11/2(月) ～ 2026/11 | 兵庫県
 NEW | 2026/9/6 | 神戸新開地・喜楽館 １２月【朝席・夜席】 | 2026/12/26(土) | 兵庫県
 NEW | 2026/9/10 | 国立能楽堂 １０月企画公演 | 2026/10/15(木) | 東京都
 NEW | 2026/9/10 | 国立能楽堂 １０月定例公演 | 2026/10/7(水) | 東京都
 NEW | 2026/9/10 | 国立能楽堂 １０月普及公演 | 2026/10/10(土) | 東京都
 NEW | 2026/9/19 | 後藤ひろひとーく～ＤＥＡＤ ＭＡＮ ＴＡＬＫＩＮ | 2026/11/15(日) ・ 2026/1 | 東京都／大阪府
 NEW | TODAY | 神韻日本公演2027 | 2027/4/7(水) ～ 2027/4/1 | 京都府
 NEW | 2026/9/11 | 『２０２６ 親愛なるレニー リーディング・トライ | 2026/9/20(日) ・ 2026/9/ | 東京都
 NEW | 2026/10/24 | 新作能 聖パウロの回心 | 2027/1/30(土) | 富山県
 NEW | 2026/9/26 | 『ジャズ大名』 | 2026/12/19(土) ～ 2026/1 | 神奈川県
 NEW | TODAY | 立川志の彦落語会 ｉｎ 高崎 | 2026/11/3(火・祝) | 群馬県
 NEW | TODAY | 立川談春 独演会２０２６ | 2026/11/14(土) ・ 2026/1 | 秋田県
 NEW | 2026/9/19 | 大名古屋らくご祭2026 | 2026/12/17(木) ～ 2026/1 | 愛知県
 NEW | 2026/9/19 | 第２８回 こがねい落語特選 ＜早春＞淡雪に福寿草 | 2027/2/13(土) | 東京都
 NEW | 2026/9/8 | 東京バレエ団 ベジャールの「くるみ割り人形」 全 | 2027/1/10(日) ・ 2027/1/ | 東京都
 NEW | 2026/10/2 | 桃月庵白酒 独演会 | 2027/1/23(土) | 京都府
 NEW | TODAY | 年忘れ おもしろ寄席 桃月庵白酒 柳家三三 ロケ | 2026/12/6(日) | 茨城県
 NEW | 2026/9/19 | 庭劇団ペニノ『埋火(うずみび)』 | 2026/11/12(木) ～ 2026/1 | 神奈川県
 NEW | 2026/9/10 | 能楽研修発表会 第４１回青翔会 | 2026/10/20(火) | 東京都
