lg=07 total=346 pages=35
parsed items: 324 (fetched up to page 36)
already in DB (eventCd一致): 292 | NOT in DB (new candidates): 32
  うち 12件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/presale_07_0905.json
 NEW | 2026/9/6 | 五十嵐紅トリオ｜New Year 2027 | 2027/1/21(木) | 東京都
 NEW | 2026/10/17 | 石田組年末感謝祭2026 | 2026/12/30(水) ・ 2026/1 | 神奈川県
 NEW | 2026/9/26 | アラン・ギルバート指揮 NDRエルプフィルハーモ | 2027/2/21(日) | 東京都
 NEW | 2026/9/10 | オーケストラ・コンチェルタンテ第４回定期演奏会 | 2026/12/27(日) | 愛知県
 NEW | 2026/10/4 | 河村尚子プロデュース「１・３・５」 ～ソロ、トリ | 2027/2/13(土) | 東京都
 NEW | TODAY | クリスマスオルガン＆コーラス | 2026/12/20(日) | 北海道
 NEW | TODAY | ～芸劇ブランチコンサート～ 名曲リサイタル・サロ | 2027/3/3(水) | 東京都
 NEW | TODAY | ～芸劇ブランチコンサート～ 名曲リサイタル・サロ | 2027/1/13(水) | 東京都
 NEW | TODAY | ～芸劇ブランチコンサート～ 名曲リサイタル・サロ | 2026/11/4(水) | 東京都
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.12 | 2027/2/19(金) | 東京都
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.11 | 2027/1/23(土) | 東京都
 NEW | TODAY | 小井土文哉ピアノリサイタルＶｏｌ．４ | 2026/11/7(土) | 岩手県
 NEW | 2026/9/10 | 第23回子どもたちと芸術家の出あう街～真夜中の音 | 2027/1/31(日) | 東京都
 NEW | 2026/9/19 | サントリーホール開館40周年記念 ウィーン・フォ | 2026/12/31(木) | 東京都
 NEW | 2026/9/7 | 武満徹没後30年「ASOBIBA TAKEMIT | 2026/10/26(月) | 東京都
 NEW | TODAY | 第九ひろしま ２０２６ | 2026/12/20(日) | 広島県
 NEW | 2026/10/31 | 大和証券グループ ｐｒｅｓｅｎｔｓ 辻井伸行 日 | 2027/1/29(金) | 福岡県
 NEW |  | 中部フィルハーモニー交響楽団 室内楽シリーズＶｏ | 2027/3/20(土) | 愛知県
 NEW | 2026/10/31 | 大和証券グループ ｐｒｅｓｅｎｔｓ 辻井伸行 日 | 2027/1/8(金) ・ 2027/1/1 | 東京都
 NEW | 2026/10/31 | 大和証券グループ ｐｒｅｓｅｎｔｓ 辻井伸行 日 | 2027/1/12(火) | 神奈川県
 NEW | 2026/10/31 | 大和証券グループ ｐｒｅｓｅｎｔｓ 辻井伸行 日 | 2027/3/2(火) | 群馬県
 NEW | 2026/9/18 | 東京シティ・フィルハーモニック管弦楽団 第九特別 | 2026/12/28(月) | 東京都
 NEW | 2026/9/26 | 東京シティ・フィルPresents ジルベスター | 2026/12/31(木) | 東京都
 NEW | 2026/9/12 | 登録アーティストによるプレミアムコンサート | 2026/11/29(日) | 広島県
 NEW | 2026/11/6 | トマ・オスピタル（ｏｒｇ） | 2027/2/27(土) | 神奈川県
