lg=06 total=143 pages=15
parsed items: 123 (fetched up to page 16)
already in DB (eventCd一致): 108 | NOT in DB (new candidates): 15
  うち 1件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_0909/presale_first_06.json
 NEW | TODAY | 岡本彩夏 １ｓｔ写真集「すきだらけ」発売記念イベ | 2026/9/26(土) | 愛知県
 NEW | 2026/9/29 | 仮面ライダースーパーライブ２０２７ | 2026/12/5(土) | 神奈川県
 NEW | 2026/9/12 | ｓｉｒｕｋｏ Ｆａｎ Ｍｅｅｔｉｎｇ Ｔｏｕｒ  | 2026/12/6(日) | 大阪府
 NEW | 2026/9/12 | ジャパンレプタイルズショー２０２７ ｉｎ 愛知  | 2027/2/13(土) ～ 2027/2/ | 愛知県
 NEW | 2026/9/12 | ジャパンレプタイルズショー２０２７ ｉｎ 京都  | 2027/5/8(土) ～ 2027/5/9 | 京都府
 NEW | 2026/9/12 | ジャパンレプタイルズショー２０２７ ｉｎ 熊本  | 2027/6/19(土) ～ 2027/6/ | 熊本県
 NEW | 2026/9/12 | ジャパンレプタイルズショー２０２７ ｉｎ 札幌  | 2027/4/3(土) ～ 2027/4/4 | 北海道
 NEW | 2026/9/12 | ジャパンレプタイルズショー２０２７ 冬レプ | 2027/1/23(土) ～ 2027/1/ | 静岡県
 NEW |  | 筑後ＳＡＫＥフェスタ２０２６ | 2026/10/10(土) ～ 2026/1 | 福岡県
 NEW | 2026/10/31 | 特別展「生きものたちの性」 | 2026/10/31(土) ～ 2027/2 | 東京都
 NEW | 2026/9/10 | 【当日引換券】プリキュアクラシックコンサート２０ | 2026/9/12(土) | 大阪府
 NEW | 2026/9/10 | 星屑スキャット Ｄｉｎｎｅｒ Ｓｈｏｗ ２０２６ | 2026/12/27(日) | 福岡県
 NEW | 2026/9/24 | ぼくたちのあそびば 初の公開収録 | 2026/10/12(月・祝) | 神奈川県
 NEW | 2026/9/26 | 水谷千重子 クリスマスディナーショー２０２６ | 2026/12/20(日) | 福岡県
 NEW | TODAY | ★9/15～9/27★【ミャクミャク 寝そべりぬ | 2026/9/15(火) ～ 2026/9/ | 大阪府
