lg=07 total=317 pages=32
parsed items: 296 (fetched up to page 33)
already in DB (eventCd一致): 268 | NOT in DB (new candidates): 28
  うち 16件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_0909/presale_first_07.json
 NEW | 2026/9/19 | ｉＰＳ細胞研究基金チャリティコンサート | 2027/2/9(火) | 東京都
 NEW | 2026/10/17 | 石田組年末感謝祭2026 | 2026/12/30(水) ・ 2026/1 | 神奈川県
 NEW | 2026/9/19 | イリーナ・メジューエワ（ｐ） | 2027/6/19(土) | 東京都
 NEW | 2026/9/19 | イリーナ・メジューエワ（ｐ） | 2027/9/25(土) | 東京都
 NEW | 2026/9/19 | イリーナ・メジューエワ（ｐ） | 2027/12/11(土) | 東京都
 NEW | 2026/10/3 | 映像の世紀コンサート | 2026/12/17(木) | 東京都
 NEW | 2026/9/12 | 大阪桐蔭高等学校吹奏楽部 特別公演 ｉｎ 大和郡 | 2026/10/10(土) | 奈良県
 NEW | 2026/9/15 | 神奈川フィルハーモニー管弦楽団 みなとみらいシリ | 2027/2/6(土) | 神奈川県
 NEW | 2026/9/18 | クリスマスはオルガンだ！２０２６ | 2026/12/24(木) ・ 2026/1 | 愛知県
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.12 | 2027/2/19(金) | 東京都
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.11 | 2027/1/23(土) | 東京都
 NEW | 2026/9/10 | 第23回子どもたちと芸術家の出あう街～真夜中の音 | 2027/1/31(日) | 東京都
 NEW | 2026/9/19 | 庄司紗矢香（ｖｌ）／鈴木優人（ｃｍｂ） | 2027/1/26(火) | 東京都
 NEW | 2026/9/26 | 第１１回 オペラ歌手 紅白対抗歌合戦 ～声魂真剣 | 2026/12/15(火) | 東京都
 NEW | 2026/10/31 | 大和証券グループ presents 辻井伸行 日 | 2027/1/12(火) | 神奈川県
 NEW |  | 中部フィルハーモニー交響楽団 室内楽シリーズＶｏ | 2027/3/20(土) | 愛知県
 NEW | 2026/9/18 | 東京シティ・フィルハーモニック管弦楽団 第九特別 | 2026/12/28(月) | 東京都
 NEW | 2026/9/26 | 東京シティ・フィルPresents ジルベスター | 2026/12/31(木) | 東京都
 NEW | 2026/9/10 | 日本フィルハーモニー交響楽団 第九特別演奏会20 | 2026/12/23(水) | 東京都
 NEW | 2026/9/10 | 日本フィルハーモニー交響楽団 第九特別演奏会20 | 2026/12/20(日) | 東京都
 NEW | 2026/9/19 | ハリウッド・フェスティバル・オーケストラ ニュー | 2027/1/3(日) | 大阪府
 NEW | 2026/9/10 | 【当日引換券】プリキュアクラシックコンサート２０ | 2026/9/12(土) | 大阪府
 NEW | 2026/9/27 | マエストロ小澤のレガシーを未来へとつなぐコンサー | 2027/2/7(日) | 京都府
 NEW | 2026/9/10 | 牧瀬愛結ピアノリサイタル | 2027/1/10(日) | 神奈川県
 NEW | 2026/9/12 | 山縣由布夏＆贄田美羽 ファゴット＆コントラバスリ | 2027/1/10(日) | 東京都
