lg=01 total=685 pages=69
parsed items: 544 (fetched up to page 70)
already in DB (eventCd一致): 504 | NOT in DB (new candidates): 40
  うち 20件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0910/01_0102.json
 NEW | 2026/9/12 | ＡＫＩＨＩＤＥ | 2026/10/9(金) | 東京都
 NEW | 2026/10/10 | 安部恭弘 | 2026/12/17(木) | 東京都
 NEW | 2026/10/10 | 安部恭弘 | 2027/1/8(金) | 東京都
 NEW | 2026/9/12 | アンジュルム ２０２６秋 風林火山・弐 | 2026/10/4(日) | 福岡県
 NEW | 2026/9/16 | 一般社団法人長唄協会秋季定期演奏会 | 2026/10/16(金) | 東京都
 NEW | 2026/10/3 | イルカ | 2027/2/14(日) | 愛知県
 NEW | 2026/10/16 | 岩崎宏美／岩崎良美 | 2027/3/6(土) | 埼玉県
 NEW | 2026/9/12 | ウルトラ寿司ふぁいやー | 2026/10/31(土) | 福岡県
 NEW | 2026/9/12 | ウルトラ寿司ふぁいやー | 2026/11/3(火・祝) | 愛媛県
 NEW | 2026/9/12 | UVERworld | 2026/9/25(金) | 神奈川県
 NEW | 2026/10/10 | ＬＭ．Ｃ | 2026/11/22(日) | 岡山県
 NEW | 2026/10/24 | ｃａｄｏｄｅ | 2027/1/22(金) | 東京都
 NEW |  | ＣＵＴＩＥ ＳＴＲＥＥＴ〈仙台駅東口発シャトルバ | 2026/10/3(土) ・ 2026/10 | 宮城県
 NEW |  | ＣＵＴＩＥ ＳＴＲＥＥＴ〈駐車券〉 | 2026/10/3(土) ・ 2026/10 | 宮城県
 NEW | 2026/10/3 | saccharin | 2027/1/10(日) ・ 2027/1/ | 東京都／大阪府
 NEW | 2026/9/12 | 佐藤竹善 | 2026/12/9(水) | 愛知県
 NEW | 2026/9/11 | 里地帰／梅川壱ノ介 | 2026/12/19(土) | 福岡県
 NEW | 2026/9/12 | 柴田淳 | 2026/10/31(土) | 神奈川県
 NEW | 2026/9/12 | Spileben 1st Album Relea | 2026/10/4(日) | 福岡県
 NEW | 2026/10/16 | 白井貴子 ＆ THE CRAZY BOYS | 2027/1/23(土) | 神奈川県
 NEW | 2026/9/12 | 自爆 | 2026/11/2(月) | 宮城県
 NEW | 2026/11/14 | スガ シカオ | 2027/2/23(火・祝) | 神奈川県
 NEW | 2026/9/26 | 太陽とシスコムーン | 2026/10/24(土) | 東京都
 NEW | 2026/9/12 | テレビ大陸音頭 | 2026/10/9(金) | 大阪府
 NEW | 2027/6/19 | デキシード・ザ・エモンズ | 2027/8/22(日) | 東京都
