lg=07 total=329 pages=33
parsed items: 302 (fetched up to page 34)
already in DB (eventCd一致): 268 | NOT in DB (new candidates): 34
  うち 14件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0910/07_0102.json
 NEW | 2026/9/11 | 淡路第九２０２６ | 2026/12/19(土) | 兵庫県
 NEW | 2026/9/13 | 五十嵐紅｜ギターと静寂『クリスマス』（静岡公演） | 2026/12/21(月) | 静岡県
 NEW | 2026/10/17 | 石田組年末感謝祭2026 | 2026/12/30(水) ・ 2026/1 | 神奈川県
 NEW | 2026/10/3 | 映像の世紀コンサート | 2026/12/17(木) | 東京都
 NEW | 2026/10/8 | ＮＨＫ東京児童合唱団第５５回定期演奏会 | 2026/11/15(日) | 東京都
 NEW | TODAY | 岡野寿子ピアノリサイタル | 2026/11/15(日) | 東京都
 NEW | 2026/9/13 | ギターと静寂｜五十嵐紅《星と祈り》 | 2027/1/14(木) | 東京都
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.12 | 2027/2/19(金) | 東京都
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.11 | 2027/1/23(土) | 東京都
 NEW | TODAY | 第23回子どもたちと芸術家の出あう街～真夜中の音 | 2027/1/31(日) | 東京都
 NEW | 2026/10/2 | 子どもと大人が楽しめる冬休み本格的オペラ「ラ・ボ | 2026/12/27(日) | 東京都
 NEW | TODAY | 昭和の名曲コンサート | 2026/11/24(火) | 神奈川県
 NEW | TODAY | ソフィア・リュウ（ｐ） | 2027/2/26(金) ・ 2027/3/ | 千葉県／静岡県
 NEW | 2026/10/30 | 高嶋ちさ子 １２人のヴァイオリニスト | 2027/2/23(火・祝) | 北海道
 NEW | 2026/9/19 | 第２回イギリス歌曲講座発表会 | 2026/11/12(木) | 東京都
 NEW | 2026/10/31 | 大和証券グループ presents 辻井伸行 日 | 2027/1/12(火) | 神奈川県
 NEW |  | 中部フィルハーモニー交響楽団 室内楽シリーズＶｏ | 2027/3/20(土) | 愛知県
 NEW | 2026/9/18 | 東京シティ・フィルハーモニック管弦楽団 第九特別 | 2026/12/28(月) | 東京都
 NEW | 2026/9/26 | 東京シティ・フィルPresents ジルベスター | 2026/12/31(木) | 東京都
 NEW | 2026/9/24 | 中川良平が拓いた道 ～東京バッハバンド、その先へ | 2027/1/17(日) | 東京都
 NEW | 2026/9/16 | 第４５回 名古屋銀行チャリティーコンサート | 2026/11/20(金) | 愛知県
 NEW | 2026/9/13 | 日本フィルハーモニー交響楽団 茨城公演 | 2027/1/16(土) | 茨城県
 NEW | 2026/9/16 | 日本フィルハーモニー交響楽団 第２６７回芸劇シリ | 2027/1/10(日) | 東京都
 NEW | TODAY | 日本フィルハーモニー交響楽団 第九特別演奏会20 | 2026/12/23(水) | 東京都
 NEW | TODAY | 日本フィルハーモニー交響楽団 第九特別演奏会20 | 2026/12/20(日) | 東京都
