lg=01 total=766 pages=77
parsed items: 601 (fetched up to page 78)
already in DB (eventCd一致): 538 | NOT in DB (new candidates): 63
  うち 39件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0911/01_0102.json
 NEW | 2026/9/13 | ｉＢｉ | 2026/9/30(水) | 大阪府
 NEW | 2026/9/12 | ＡＫＩＨＩＤＥ | 2026/11/8(日) | 北海道
 NEW | 2026/9/12 | ＡＫＩＨＩＤＥ | 2026/11/14(土) | 大分県
 NEW | 2026/9/12 | ＡＫＩＨＩＤＥ | 2026/11/15(日) | 福岡県
 NEW | 2026/9/12 | ＡＳＫＡ | 2026/12/11(金) | 福島県
 NEW | 2026/10/3 | あつこ＆タニケン ハッピードレミハウス | 2026/12/12(土) | 東京都
 NEW | 2026/10/10 | 安部恭弘 | 2026/12/17(木) | 東京都
 NEW | 2026/9/12 | Ａｎｌｙ | 2026/11/29(日) | 沖縄県
 NEW | TODAY | Ｅａｒｔｈｉｓｔｓ． | 2026/9/26(土) | 愛知県
 NEW | TODAY | Ｅａｒｔｈｉｓｔｓ． | 2026/10/12(月・祝) | 東京都
 NEW | 2026/10/2 | 石崎ひゅーい | 2026/10/30(金) | 宮城県
 NEW | 2026/9/12 | 伊勢正三 | 2026/12/13(日) | 栃木県
 NEW | 2026/9/12 | ウルトラ寿司ふぁいやー | 2026/10/31(土) | 福岡県
 NEW | 2026/9/12 | ウルトラ寿司ふぁいやー | 2026/11/14(土) | 大阪府
 NEW | 2026/9/19 | ＦＣＯ． | 2026/10/13(火) | 大阪府
 NEW | 2026/10/3 | 辛島美登里 | 2026/12/13(日) | 東京都
 NEW | 2026/9/12 | 川崎鷹也 | 2027/3/28(日) | 福岡県
 NEW | 2026/9/12 | 川崎鷹也 | 2027/4/4(日) | 長崎県
 NEW |  | ＣＵＴＩＥ ＳＴＲＥＥＴ〈仙台駅東口発シャトルバ | 2026/10/3(土) ・ 2026/10 | 宮城県
 NEW |  | ＣＵＴＩＥ ＳＴＲＥＥＴ〈駐車券〉 | 2026/10/3(土) ・ 2026/10 | 宮城県
 NEW | 2026/9/12 | Ｑ．Ｉ．Ｓ． | 2026/11/27(金) | 大阪府
 NEW | 2026/9/12 | Ｑ．Ｉ．Ｓ．（北澤ゆうほ） | 2026/12/12(土) | 東京都
 NEW | 2026/9/27 | 「Ｃｈｒｉｓｔｍａｓ ｗｉｔｈ ＲＯＬＬＹ！ ２ | 2026/12/17(木) ・ 2026/1 | 東京都
 NEW | 2026/9/19 | ＣＯＮＣＥＲＴＯ ＭＯＯＮ | 2026/11/28(土) | 愛知県
 NEW | 2026/10/3 | saccharin | 2027/1/10(日) ・ 2027/1/ | 東京都／大阪府
