lg=06 total=151 pages=16
parsed items: 131 (fetched up to page 17)
already in DB (eventCd一致): 109 | NOT in DB (new candidates): 22
  うち 4件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0911/06_0102.json
 NEW | 2026/9/12 | 芥見下々『呪術廻戦』展 [岩手会場] | 2026/9/12(土) ～ 2026/11 | 岩手県
 NEW | 2026/9/12 | 『仮面ライダーアギト』25周年記念 真アギト展( | 2026/10/3(土) ・ 2026/10 | 大阪府
 NEW | 2026/9/12 | 『仮面ライダーアギト』25周年記念 真アギト展( | 2026/10/10(土) ・ 2026/1 | 大阪府
 NEW | 2026/9/12 | 『仮面ライダーアギト』25周年記念 真アギト展( | 2026/10/17(土) ・ 2026/1 | 大阪府
 NEW | 2026/9/12 | 『仮面ライダーアギト』25周年記念 真アギト展( | 2026/10/24(土) ・ 2026/1 | 大阪府
 NEW | 2026/9/12 | 『仮面ライダーアギト』25周年記念 真アギト展( | 2026/10/5(月) ～ 2026/10 | 大阪府
 NEW | 2026/9/12 | 京典和玖 ２０２７カレンダー発売記念イベント | 2026/10/31(土) | 愛知県
 NEW | 2026/9/18 | ＫＯＶ ＶＩＮＴＡＧＥ ＭＡＲＫＥＴ ｖｏｌ．３ | 2026/11/29(日) | 愛知県
 NEW | 2026/9/17 | ゲームマーケット2026秋 | 2026/10/17(土) | 千葉県
 NEW | 2026/9/12 | ｓｉｒｕｋｏ Ｆａｎ Ｍｅｅｔｉｎｇ Ｔｏｕｒ  | 2026/12/10(木) | 福岡県
 NEW | 2026/9/12 | 真アギト展（大阪会場）音声ガイド引換券 | 2026/10/3(土) ～ 2026/10 | 大阪府
 NEW | 2026/9/12 | ダイアモンド☆ユカイ オフィシャルファンクラブY | 2026/10/11(日) | 東京都
 NEW |  | 筑後ＳＡＫＥフェスタ２０２６ | 2026/10/10(土) ～ 2026/1 | 福岡県
 NEW | 2026/10/31 | 特別展「生きものたちの性」 | 2026/10/31(土) ～ 2027/2 | 東京都
 NEW | 2026/10/6 | 特別展「源氏物語 王朝のかがやき」 | 2026/10/6(火) ～ 2026/11 | 京都府
 NEW | 2026/9/23 | 野津山幸宏 Ｂｉｒｔｈｄａｙ忘年会２０２６ のづ | 2026/12/26(土) | 東京都
 NEW | TODAY | ミラクルドリームサーカス両毛足利公演 １月 | 2027/1/1(金・祝) ～ 2027/1 | 栃木県
 NEW | TODAY | ミラクルドリームサーカス両毛足利公演 １１月 | 2026/11/1(日) ～ 2026/11 | 栃木県
 NEW | TODAY | ミラクルドリームサーカス両毛足利公演 １０月 | 2026/10/9(金) ～ 2026/10 | 栃木県
 NEW | TODAY | ミラクルドリームサーカス両毛足利公演 １２月 | 2026/12/1(火) ～ 2026/12 | 栃木県
 NEW | 2026/10/20 | 山内惠介 | 2026/12/13(日) | 北海道
 NEW | 2026/10/3 | ｗａｃｃｉ | 2026/10/31(土) | 兵庫県
