lg=07 total=323 pages=33
parsed items: 299 (fetched up to page 34)
already in DB (eventCd一致): 272 | NOT in DB (new candidates): 27
  うち 11件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0911/07_0102.json
 NEW | 2026/9/14 | アヤセ・プロムナード・コンサート | 2026/12/13(日) | 神奈川県
 NEW | 2026/9/13 | 五十嵐紅｜ギターと静寂『クリスマス』 | 2026/12/21(月) | 静岡県
 NEW | 2026/10/17 | 石田組年末感謝祭2026 | 2026/12/30(水) ・ 2026/1 | 神奈川県
 NEW | 2026/9/18 | ウィーン・ヨハン・シュトラウス管弦楽団 ニューイ | 2027/1/16(土) | 東京都
 NEW | 2026/10/4 | 牛田智大ピアノ・リサイタル | 2027/3/10(水) | 福岡県
 NEW | 2026/10/3 | 映像の世紀コンサート | 2026/12/17(木) | 東京都
 NEW | 2026/9/12 | 大村博美ソプラノリサイタル | 2026/11/27(金) | 神奈川県
 NEW | 2026/10/2 | 笠原純子（ｐ） | 2027/3/20(土) | 東京都
 NEW | 2026/9/16 | 関西フィルハーモニー管弦楽団 | 2027/1/17(日) | 大阪府
 NEW | 2026/9/19 | 北島実幸 サクソフォン・コンサート ～ピアノと紡 | 2026/12/12(土) | 富山県
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.12 | 2027/2/19(金) | 東京都
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.11 | 2027/1/23(土) | 東京都
 NEW | 2026/10/1 | ＴＨＥ ＦＯＵＲ ＭＵＳＥＳ ～４人の女神～ | 2026/12/13(日) | 福岡県
 NEW | 2026/9/27 | ジャパン・ヴィルトゥオーゾ・シンフォニー・オーケ | 2027/1/4(月) | 大阪府
 NEW |  | 中部フィルハーモニー交響楽団 室内楽シリーズＶｏ | 2027/3/20(土) | 愛知県
 NEW | 2026/10/23 | 大和証券グループ ｐｒｅｓｅｎｔｓ 辻井伸行 日 | 2027/2/24(水) | 愛知県
 NEW | 2026/9/18 | 東京シティ・フィルハーモニック管弦楽団 第九特別 | 2026/12/28(月) | 東京都
 NEW | 2026/9/26 | 東京シティ・フィルPresents ジルベスター | 2026/12/31(木) | 東京都
 NEW | 2026/9/18 | トリオ・カルディア コンサート | 2026/11/22(日) | 福井県
 NEW | 2026/9/18 | ＨＡＳＥＫＯ Ｐｒｅｓｅｎｔｓ 東京２１世紀管弦 | 2027/1/22(金) | 東京都
 NEW | TODAY | 第４２回＜ひろぎんＨＤ＞トゥモロウコンサート | 2026/11/17(火) | 広島県
 NEW | 2026/9/14 | フォレスタコンサート ～年末リクエストスペシャル | 2026/12/23(水) | 東京都
 NEW | 2026/10/4 | 宮田まゆみ（笙） | 2027/2/27(土) | 東京都
 NEW | 2026/9/19 | 名曲コンサート | 2027/2/13(土) | 神奈川県
 NEW | 2026/10/11 | 読響名曲シリーズ | 2027/1/28(木) | 東京都
