lg=02 total=382 pages=39
parsed items: 307 (fetched up to page 40)
already in DB (eventCd一致): 285 | NOT in DB (new candidates): 22
  うち 8件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0912/02_0102.json
 NEW | TODAY | 市川猿四郎☆スーパー講座「歌舞伎のいろは」 福岡 | 2027/2/21(日) | 福岡県
 NEW | 2026/10/10 | 梅棒 22nd dish『eatBeat』 | 2026/11/14(土) ～ 2026/1 | 東京都
 NEW | 2026/11/15 | 桂文珍・春風亭一之輔 東西会 | 2027/3/2(火) | 愛知県
 NEW | 2026/9/30 | 桂米團治 独演会 | 2027/1/9(土) | 東京都
 NEW | 2026/9/19 | 教育おたのしみ会～笑いとげんじつ～ | 2026/11/8(日) ・ 2026/12 | 東京都／愛知県
 NEW | 2026/11/21 | 2026年劇団☆新感線46周年興行・冬公演 いの | 2027/1/21(木) ～ 2027/2/ | 石川県／長野県
 NEW | 2026/9/19 | 松竹芸能７０周年記念『松竹芸能大シンポジウム』 | 2026/10/25(日) | 東京都
 NEW | 2026/10/10 | 次代育成落語会 | 2026/12/13(日) | 沖縄県
 NEW | 2026/9/26 | 『ジャズ大名』 | 2026/12/19(土) ～ 2026/1 | 神奈川県
 NEW | 2026/9/21 | Ｊｏｙ！Ｊｏｙ！エンタメ新喜劇 | 2026/11/23(月・祝) | 大阪府
 NEW | 2026/10/17 | 『ずらかるやつら』 | 2026/12/6(日) ～ 2026/12 | 東京都
 NEW | TODAY | 第一回入船亭扇白まつやま落語会 | 2026/11/15(日) | 愛媛県
 NEW | TODAY | 第九回 立川志の麿独演会 | 2026/11/21(土) | 東京都
 NEW | TODAY | 談春塾 ２０２６ ＜１１月公演＞ | 2026/11/6(金) ・ 2026/11 | 東京都
 NEW | TODAY | トット漫才全国ツアー「一路漫進」 | 2026/10/31(土) ・ 2026/1 | 北海道／沖縄県
 NEW | 2026/9/20 | 鳥取・高知・石川 共同制作バレエ バレエ「赤毛の | 2026/12/20(日) | 石川県
 NEW | TODAY | トットーク | 2026/10/31(土) ・ 2026/1 | 北海道／沖縄県
 NEW | 2026/9/19 | 庭劇団ペニノ『埋火(うずみび)』 | 2026/11/12(木) ～ 2026/1 | 神奈川県
 NEW | 2026/10/11 | 能登半島地震・奥能登豪雨からの復興応援 かはづ亭 | 2027/3/28(日) | 石川県
 NEW | 2026/9/20 | 舞台「ぼくのドラゴンがごはんを食べない!!」 | 2026/11/5(木) ～ 2026/12 | 東京都／大阪府
 NEW | 2026/10/3 | Bunkamura Production 202 | 2026/11/6(金) ～ 2026/11 | 東京都
 NEW | TODAY | よしもとお笑いライブｉｎ茨木２０２６～おにクルに | 2026/10/24(土) | 大阪府
