lg=03 total=146 pages=15
parsed items: 105 (fetched up to page 16)
already in DB (eventCd一致): 84 | NOT in DB (new candidates): 21
  うち 8件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0912/03_0102.json
 NEW | 2026/9/21 | アイスリボン | 2026/11/29(日) | 東京都
 NEW | TODAY | 遠藤引退北陣襲名披露大相撲＜イス席＞ | 2027/1/30(土) | 東京都
 NEW | 2026/9/23 | ガンバレ☆プロレス | 2026/11/23(月・祝) | 東京都
 NEW | TODAY | 木下グループ ジャパンオープンテニスチャンピオン | 2026/10/17(土) ～ 2026/1 | 大阪府
 NEW | 2026/9/21 | 第１６回 ゴッデス・オブ・スターダム ～タッグリ | 2026/11/23(月・祝) | 福島県
 NEW | 2026/9/21 | 第１６回 ゴッデス・オブ・スターダム ～タッグリ | 2026/11/3(火・祝) | 静岡県
 NEW | 2026/9/17 | サガン鳥栖対東京ヴェルディ ルヴァンカップ １ｓ | 2026/9/29(火) | 佐賀県
 NEW | 2026/9/13 | 新日本プロレス＜長岡京大会＞ | 2026/10/31(土) | 京都府
 NEW | TODAY | センダイガールズプロレスリング | 2026/10/1(木) | 東京都
 NEW | 2026/9/23 | センダイガールズプロレスリング | 2026/12/5(土) | 神奈川県
 NEW | 2026/9/23 | 東京女子プロレス | 2026/11/27(金) | 東京都
 NEW | 2026/9/19 | 栃木ＳＣ対レノファ山口ＦＣ 明治安田Ｊ３リーグ | 2026/10/11(日) | 栃木県
 NEW | 2026/9/28 | プロレスリング・ノア | 2026/11/17(火) | 神奈川県
 NEW | 2026/9/16 | プロレスリングＦＲＥＥＤＯＭＳ | 2026/10/18(日) | 神奈川県
 NEW | 2026/9/14 | 北海道コンサドーレ札幌対湘南ベルマーレ ■■■車 | 2026/10/31(土) | 北海道
 NEW | 2026/9/14 | 北海道コンサドーレ札幌対湘南ベルマーレ 明治安田 | 2026/10/31(土) | 北海道
 NEW | 2026/9/14 | 北海道コンサドーレ札幌対ファジアーノ岡山 ■■■ | 2026/9/29(火) | 北海道
 NEW | 2026/9/14 | 北海道コンサドーレ札幌対ファジアーノ岡山 ルヴァ | 2026/9/29(火) | 北海道
 NEW | 2026/9/14 | 北海道コンサドーレ札幌対ブラウブリッツ秋田 ■■ | 2026/10/17(土) | 北海道
 NEW | 2026/9/14 | 北海道コンサドーレ札幌対ブラウブリッツ秋田 明治 | 2026/10/17(土) | 北海道
 NEW | 2026/9/18 | レイラック滋賀ＦＣ対ＳＣ相模原 明治安田Ｊ３リー | 2026/10/18(日) | 滋賀県
