lg=06 total=159 pages=16
parsed items: 134 (fetched up to page 17)
already in DB (eventCd一致): 120 | NOT in DB (new candidates): 14
  うち 4件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0912/06_0102.json
 NEW | 2026/10/3 | ウルトラマンスタジアムスペシャルステージ！光石イ | 2026/11/8(日) | 石川県
 NEW | 2026/9/26 | 神木隆之介トークショー | 2026/11/21(土) | 岡山県
 NEW | TODAY | 2026 KIM JAE WON WORLD T | 2026/9/20(日) | 東京都
 NEW | TODAY | 『京典和玖 ２０２７年カレンダー』発売記念お渡し | 2026/10/17(土) | 大阪府
 NEW | TODAY | siruko Fan Meeting Tour  | 2026/11/23(月・祝) | 北海道
 NEW | 2026/9/22 | ジャパンレプタイルズショー２０２７ ｉｎ 東京  | 2027/4/17(土) ～ 2027/4/ | 東京都
 NEW | TODAY | 声優トークショー | 2026/10/24(土) | 岡山県
 NEW |  | 筑後ＳＡＫＥフェスタ２０２６ | 2026/10/10(土) ～ 2026/1 | 福岡県
 NEW | TODAY | JUNG HAEIN | 2026/9/22(火・祝) | 東京都
 NEW | TODAY | 出禁のモグラ ファン交流会 | 2026/11/3(火・祝) | 奈良県
 NEW | 2026/10/31 | 特別展「生きものたちの性」 | 2026/10/31(土) ～ 2027/2 | 東京都
 NEW | 2026/10/6 | 特別展「源氏物語 王朝のかがやき」 | 2026/10/6(火) ～ 2026/11 | 京都府
 NEW | TODAY | 第38回なにわ淀川花火大会 | 2026/10/17(土) | 大阪府
 NEW | 2026/9/26 | Ｍｏｚｕミニチュア展２ のぞいてみよう、ちいさな | 2026/11/21(土) ～ 2027/1 | 愛媛県
