lg=07 total=327 pages=33
parsed items: 300 (fetched up to page 34)
already in DB (eventCd一致): 273 | NOT in DB (new candidates): 27
  うち 10件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0912/07_0102.json
 NEW | TODAY | 葵トリオ | 2026/12/7(月) | 東京都
 NEW | 2026/10/18 | アクト・プレミアム・シリーズ２０２６～世界の名演 | 2027/2/16(火) | 静岡県
 NEW | 2026/10/17 | 石田組年末感謝祭2026 | 2026/12/30(水) ・ 2026/1 | 神奈川県
 NEW | 2026/9/16 | 上野通明（チェロ）＆レミ・ジュニエ（ピアノ） | 2027/1/18(月) | 東京都
 NEW | 2026/10/3 | 映像の世紀コンサート | 2026/12/17(木) | 東京都
 NEW | TODAY | エプタザールセレクトコンサート７７回 吉江忠男＆ | 2026/11/28(土) | 東京都
 NEW | 2026/9/26 | おかげさまで72周年 マルエープレゼンツ 30t | 2027/1/17(日) | 石川県
 NEW | 2026/9/19 | かとうかなこ カルテット | 2026/12/13(日) | 大阪府
 NEW | TODAY | 加藤昌則の『うた』の世界 | 2027/1/24(日) | 東京都
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.12 | 2027/2/19(金) | 東京都
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.11 | 2027/1/23(土) | 東京都
 NEW | TODAY | 橘佳祐＆井上千裕ピアノリサイタル | 2027/1/17(日) ・ 2027/1/ | 岡山県／広島県
 NEW | 2026/9/26 | 中国銀行ドリーミーコンサート 親子 ｄｅ クラシ | 2026/12/20(日) | 岡山県
 NEW |  | 中部フィルハーモニー交響楽団 室内楽シリーズＶｏ | 2027/3/20(土) | 愛知県
 NEW | TODAY | デジュー・ラーンキ ピアノ・リサイタル | 2027/2/10(水) | 東京都
 NEW | 2026/9/18 | 東京シティ・フィルハーモニック管弦楽団 第九特別 | 2026/12/28(月) | 東京都
 NEW | 2026/9/26 | 東京シティ・フィルPresents ジルベスター | 2026/12/31(木) | 東京都
 NEW | 2026/11/28 | 東京フィルトップメンバーによる ちょっと身近なク | 2027/1/30(土) | 岐阜県
 NEW | 2026/9/16 | ＴＯＰＰＡＮホール ニューイヤーコンサート ２０ | 2027/1/8(金) | 東京都
 NEW | TODAY | 中村恵理 ソプラノ・リサイタル | 2027/2/17(水) | 東京都
 NEW | 2026/9/28 | 西本智実＆イルミナートフィル ニューイヤーコンサ | 2027/1/24(日) | 兵庫県
 NEW | TODAY | 初音ミクシンフォニー２０２６－２０２７ Ｍｅｌｏ | 2027/1/10(日) | 大阪府
 NEW | TODAY | フィルハーモニカー・ウィーン・名古屋第２６回演奏 | 2027/2/21(日) | 愛知県
 NEW | 2026/10/24 | 村治佳織（ｇ）／村治奏一（ｇ） | 2027/2/7(日) | 神奈川県
 NEW | 2026/10/11 | ようこそ絵本の音楽会へｉｎ ＴＯＫＩ ～クリスマ | 2026/12/13(日) | 岐阜県
