lg=01 total=577 pages=58
parsed items: 471 (fetched up to page 59)
already in DB (eventCd一致): 422 | NOT in DB (new candidates): 49
  うち 22件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0916/01_0102.json
 NEW | 2026/9/26 | ANISON PREMIUM LIVE ささきい | 2026/12/13(日) | 宮城県
 NEW | 2026/10/2 | 石崎ひゅーい | 2026/10/30(金) | 宮城県
 NEW | TODAY | ESPOIR TRIBE－エスポワール・トライブ | 2026/12/27(日) | 東京都
 NEW | 2026/10/17 | ＯＫＡＭＯＴＯ’Ｓ | 2027/1/24(日) | 岡山県
 NEW | 2026/10/25 | 押尾コータロー | 2026/12/18(金) | 大阪府
 NEW | 2026/11/28 | 辛島美登里・中西保志・中西圭三 コンサート | 2027/3/6(土) | 福岡県
 NEW | 2026/10/3 | カーネーション | 2026/11/7(土) | 愛知県
 NEW | 2026/9/20 | きばやし／ひおり | 2026/10/23(金) | 東京都
 NEW |  | ＣＵＴＩＥ ＳＴＲＥＥＴ〈仙台駅東口発シャトルバ | 2026/10/3(土) ・ 2026/10 | 宮城県
 NEW |  | ＣＵＴＩＥ ＳＴＲＥＥＴ〈駐車券〉 | 2026/10/3(土) ・ 2026/10 | 宮城県
 NEW | 2026/9/26 | KIRARA | 2026/11/12(木) | 東京都
 NEW | 2026/9/18 | ギグフェスタ ダンステリア「一夜限りの小松ＧＩＮ | 2026/10/25(日) | 石川県
 NEW | 2026/9/26 | GLIM SPANKY | 2026/11/15(日) | 東京都
 NEW | 2026/9/19 | ＫＥＲＡ ＳＯＬＯ ＵＮＩＴ ｆｅａｔｕｒｉｎｇ | 2026/11/10(火) | 東京都
 NEW | TODAY | さだまさし クリスマスディナー＆コンサート２０２ | 2026/12/19(土) | 大阪府
 NEW | 2026/10/3 | saccharin | 2027/1/10(日) ・ 2027/1/ | 東京都／大阪府
 NEW | 2026/9/19 | さとう。 | 2026/10/31(土) | 福岡県
 NEW | 2026/10/3 | サニーデイ・サービス | 2026/12/18(金) | 東京都
 NEW | 2026/9/19 | 沢田研二 | 2026/11/4(水) | 大阪府
 NEW | 2026/10/3 | ＳＨＥＲＢＥＴＳ | 2026/11/28(土) | 福岡県
 NEW | 2026/10/3 | 終活クラブ | 2026/11/17(火) | 香川県
 NEW | 2026/10/16 | 白井貴子 ＆ THE CRAZY BOYS | 2027/1/23(土) | 神奈川県
 NEW | 2026/10/3 | THE INSPECTOR CLUZO | 2027/2/17(水) | 大阪府
 NEW | 2026/10/3 | Ｊａｎｅ Ｒｅｍｏｖｅｒ | 2026/12/9(水) | 東京都
 NEW | 2026/9/19 | Juice=Juice | 2026/10/10(土) | 大阪府
