lg=02 total=339 pages=34
parsed items: 267 (fetched up to page 35)
already in DB (eventCd一致): 243 | NOT in DB (new candidates): 24
  うち 11件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0916/02_0102.json
 NEW | 2026/9/30 | 桂米團治 独演会 | 2027/1/9(土) | 東京都
 NEW | 2026/12/6 | 寛平ＧＭプロデュース公演『新喜劇出前ツアー２０２ | 2027/3/22(月・祝) | 長崎県
 NEW | 2026/11/21 | 2026年劇団☆新感線46周年興行・冬公演 いの | 2027/1/21(木) ～ 2027/2/ | 石川県／長野県
 NEW | 2026/10/18 | 劇団「ハイキュー!!」“勝者と敗者” | 2026/12/19(土) ～ 2026/1 | 東京都
 NEW | 2026/11/28 | 工房芝居 旗揚げ公演『鉛の斧』 | 2027/1/28(木) ～ 2027/2/ | 東京都
 NEW | 2026/10/24 | 第２６回さがみはら若手落語家選手権＜本選会＞ | 2027/3/7(日) | 神奈川県
 NEW | 2026/10/24 | 第２６回さがみはら若手落語家選手権＜予選会 第１ | 2027/1/9(土) | 神奈川県
 NEW | 2026/10/24 | 第２６回さがみはら若手落語家選手権＜予選会 第２ | 2027/1/24(日) | 神奈川県
 NEW | 2026/10/24 | 第２６回さがみはら若手落語家選手権＜予選会 第３ | 2027/2/7(日) | 神奈川県
 NEW | 2026/10/24 | 第２６回さがみはら若手落語家選手権＜予選会 第４ | 2027/2/20(土) | 神奈川県
 NEW | 2026/10/11 | サンケイホールブリーゼ米朝一門落語会シリーズ２０ | 2027/1/2(土) ・ 2027/1/3 | 大阪府
 NEW | TODAY | 神韻日本公演2027 | 2027/3/25(木) ・ 2027/3/ | 山梨県
 NEW | 2026/10/11 | 笑激！！お笑いカーニバルｉｎ府中 | 2027/1/31(日) | 東京都
 NEW | 2026/9/26 | 新春四景（上） | 2027/1/19(火) | 東京都
 NEW | 2026/9/26 | 『ジャズ大名』 | 2026/12/19(土) ～ 2026/1 | 神奈川県
 NEW | 2026/9/19 | ソーゾーシーＴＯＵＲ２０２６ また会える夜 | 2026/11/7(土) | 東京都
 NEW | 2026/10/3 | 「他人」 | 2026/12/12(土) ・ 2026/1 | 高知県
 NEW | 2026/10/2 | 第１０回Ｍｕでらくご | 2026/11/15(日) | 大阪府
 NEW | TODAY | 第４回 林家きよ彦・鈴々舎美馬二人会 | 2027/1/26(火) | 東京都
 NEW | 2026/9/19 | 庭劇団ペニノ『埋火(うずみび)』 | 2026/11/12(木) ～ 2026/1 | 神奈川県
 NEW | 2026/9/20 | 舞台「ぼくのドラゴンがごはんを食べない!!」 | 2026/11/5(木) ～ 2026/12 | 東京都／大阪府
 NEW | 2026/10/3 | Bunkamura Production 202 | 2026/11/6(金) ～ 2026/11 | 東京都
 NEW | 2026/9/18 | ミュージカル『秘密の花園』 | 2026/10/17(土) ～ 2026/1 | 東京都
 NEW | 2026/9/19 | WAHAHA本舗PRESENTS ワハハ本舗特別 | 2027/1/31(日) | 群馬県
