lg=03 total=109 pages=11
parsed items: 82 (fetched up to page 12)
already in DB (eventCd一致): 67 | NOT in DB (new candidates): 15
  うち 9件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0916/03_0102.json
 NEW | TODAY | アクトレスガールズ | 2026/10/12(月・祝) | 東京都
 NEW | TODAY | アクトレスガールズ | 2026/10/17(土) | 東京都
 NEW | TODAY | アクトレスガールズ | 2026/10/26(月) | 東京都
 NEW | 2026/9/20 | エスポラーダ北海道対バルドラール浦安 メットライ | 2026/10/25(日) | 北海道
 NEW |  | ＦＣ今治対ヴァンラーレ八戸 明治安田Ｊ２リーグ | 2026/10/17(土) | 愛媛県
 NEW | 2026/9/21 | サガン鳥栖対ＲＢ大宮アルディージャ 明治安田Ｊ２ | 2026/10/17(土) | 佐賀県
 NEW | 2026/9/19 | 大日本プロレス | 2026/10/21(水) | 東京都
 NEW | 2026/9/19 | 大日本プロレス | 2026/10/23(金) | 東京都
 NEW | 2026/9/20 | 東京ヤクルトスワローズ 対 広島東洋カープ 20 | 2026/10/4(日) | 東京都
 NEW | 2026/9/20 | 東京ヤクルトスワローズ 対 広島東洋カープ 20 | 2026/10/4(日) | 東京都
 NEW | 2026/9/28 | プロレスリング・ノア | 2026/11/15(日) | 愛知県
 NEW | 2026/9/28 | プロレスリング・ノア | 2026/11/20(金) | 宮城県
 NEW | 2026/9/28 | プロレスリング・ノア | 2026/11/21(土) | 山形県
 NEW | 2026/9/28 | プロレスリング・ノア | 2026/11/22(日) | 秋田県
 NEW | 2026/9/19 | 令和八年九州場所大相撲 お土産引換券 ※本券では | 2026/11/8(日) ～ 2026/11 | 福岡県
