lg=02 total=336 pages=34
parsed items: 266 (fetched up to page 35)
already in DB (eventCd一致): 243 | NOT in DB (new candidates): 23
  うち 10件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0917/02_0102.json
 NEW | 2026/10/24 | あおば寄席その１５０ 新春爆笑落語会 三遊亭小遊 | 2027/2/9(火) | 宮城県
 NEW | TODAY | 綾小路きみまろ 爆笑！！スーパーライブ２０２７ | 2027/2/13(土) ・ 2027/2/ | 愛媛県／高知県
 NEW | 2026/10/16 | 稲沢市民寄席 古今亭文菊 独演会 | 2027/1/23(土) | 愛知県
 NEW | 2026/9/30 | 桂米團治 独演会 | 2027/1/9(土) | 東京都
 NEW | 2026/12/6 | 寛平ＧＭプロデュース公演『新喜劇出前ツアー２０２ | 2027/3/22(月・祝) | 長崎県
 NEW | 2026/9/19 | キーウ・クラシック・バレエ 「ロミオとジュリエッ | 2026/11/23(月・祝) | 愛知県
 NEW | 2026/11/21 | 2026年劇団☆新感線46周年興行・冬公演 いの | 2027/1/21(木) ～ 2027/2/ | 石川県／長野県
 NEW | 2026/10/18 | 劇団「ハイキュー!!」“勝者と敗者” | 2026/12/19(土) ～ 2026/1 | 東京都
 NEW | TODAY | 新サクラ大戦 the Stage ～誠伝 TSU | 2026/9/19(土) ～ 2026/9/ | 東京都
 NEW | 2026/9/26 | 『ジャズ大名』 | 2026/12/19(土) ～ 2026/1 | 神奈川県
 NEW | 2026/10/5 | 声優朗読劇 フォアレーゼン ルクレールの暗殺 | 2026/11/29(日) | 岐阜県
 NEW | 2026/9/18 | 大衆演劇ＥＸＰＯ 第三回浅草大宴会 | 2026/12/16(水) ・ 2026/1 | 東京都
 NEW | 2026/10/24 | 第７５回昭島寄席「新春初笑い」 | 2027/1/24(日) | 東京都
 NEW | 2026/10/17 | 地下室ｄｅパンケーキ「愛と情報」 | 2026/12/17(木) ～ 2026/1 | 東京都
 NEW | 2026/9/18 | 土佐の「こじゃんと」能楽プロジェクト 能楽公演２ | 2026/11/11(水) ・ 2026/1 | 高知県
 NEW | 2026/9/19 | 庭劇団ペニノ『埋火(うずみび)』 | 2026/11/12(木) ～ 2026/1 | 神奈川県
 NEW | 2026/10/3 | 蓮見と仲間とぶらり執筆旅’２６ －ＬＩＶＥ－ | 2026/10/28(水) | 東京都
 NEW | 2026/10/1 | 『ＢＤＣ ＤＡＮＣＥ ＬＡＢ ２０２６』 | 2026/12/6(日) | 東京都
 NEW | 2026/9/20 | 舞台「ぼくのドラゴンがごはんを食べない!!」 | 2026/11/5(木) ～ 2026/12 | 東京都／大阪府
 NEW | 2026/10/3 | Bunkamura Production 202 | 2026/11/6(金) ～ 2026/11 | 東京都
 NEW | 2026/11/21 | Ｍａｅｓｔｒｏ塩田明弘と仲間たちが贈る「極上のミ | 2027/2/27(土) ・ 2027/2/ | 岐阜県
 NEW | 2026/9/19 | 漫才選集 | 2026/11/23(月・祝) ・ 2026 | 北海道／石川県
 NEW | 2026/9/19 | よしもとお笑いライブｉｎ川崎２０２６秋 | 2026/11/11(水) | 神奈川県
