lg=03 total=133 pages=14
parsed items: 97 (fetched up to page 15)
already in DB (eventCd一致): 73 | NOT in DB (new candidates): 24
  うち 3件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0917/03_0102.json
 NEW | 2026/10/10 | 【ＷＥリーグ】アルビレックス新潟レディース対三菱 | 2026/11/1(日) | 新潟県
 NEW | 2026/9/20 | エスポラーダ北海道対シュライカー大阪 メットライ | 2026/10/2(金) | 北海道
 NEW | 2026/10/11 | 愛媛ＦＣ対福島ユナイテッドＦＣ 明治安田Ｊ３リー | 2026/10/25(日) | 愛媛県
 NEW |  | ＦＣ今治対ヴァンラーレ八戸 明治安田Ｊ２リーグ | 2026/10/17(土) | 愛媛県
 NEW | 2026/9/18 | ＡＬＬ ＪＡＰＡＮ ＣＨＥＥＲ ＤＡＮＣＥ ＣＨ | 2026/10/4(日) | 北海道
 NEW |  | カマタマーレ讃岐対ロアッソ熊本 明治安田Ｊ３リー | 2026/10/18(日) | 香川県
 NEW | 2026/10/2 | コズエン Ｍａｉｄ Ｃａｆｅ ～戦う天使たち、今 | 2026/11/7(土) | 東京都
 NEW | 2026/9/27 | 新日本プロレス | 2026/10/25(日) | 東京都
 NEW | 2026/9/27 | 新日本プロレス | 2026/10/26(月) | 東京都
 NEW | 2026/9/20 | 新日本プロレス＜赤磐大会＞ | 2026/11/1(日) | 岡山県
 NEW | 2026/9/30 | ＳＴＡＲＤＯＭ ＮＥＷ ＹＥＡＲ ＤＲＥＡＭ ２ | 2027/1/2(土) | 神奈川県
 NEW | 2026/10/2 | 太陽生命 JAPAN RUGBY CHALLEN | 2026/10/31(土) | 埼玉県
 NEW | 2026/9/19 | 天皇杯 JFA 第106回全日本サッカー選手権大 | 2026/10/7(水) | 神奈川県
 NEW | 2026/9/19 | 天皇杯 JFA 第106回全日本サッカー選手権大 | 2026/10/7(水) | 東京都
 NEW | 2026/9/19 | 天皇杯 JFA 第106回全日本サッカー選手権大 | 2026/10/7(水) | 静岡県
 NEW | 2026/9/19 | 天皇杯 JFA 第106回全日本サッカー選手権大 | 2026/10/7(水) | 千葉県
 NEW | 2026/9/19 | 天皇杯 JFA 第106回全日本サッカー選手権大 | 2026/10/7(水) | 神奈川県
 NEW | 2026/9/19 | 天皇杯 JFA 第106回全日本サッカー選手権大 | 2026/10/7(水) | 静岡県
 NEW | 2026/9/25 | 東京ヤクルトスワローズ 対 中日ドラゴンズ 20 | 2026/10/3(土) | 東京都
 NEW | 2026/9/25 | 東京ヤクルトスワローズ 対 中日ドラゴンズ 20 | 2026/10/3(土) | 東京都
 NEW | 2026/9/27 | プロレスリングＢＡＳＡＲＡ | 2026/10/27(火) | 東京都
 NEW | 2026/9/25 | ■リポビタンDチャレンジカップ2026 男子日本 | 2026/10/24(土) | 東京都
 NEW | 2026/9/25 | リポビタンDチャレンジカップ2026 | 2026/10/24(土) | 東京都
 NEW | 2026/9/18 | ＯＮＥ ＡＳＩＡ ＷＯＲＬＤ オープニングセレモ | 2026/9/19(土) | 愛知県
