lg=01 total=691 pages=70
parsed items: 550 (fetched up to page 71)
already in DB (eventCd一致): 495 | NOT in DB (new candidates): 55
  うち 29件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0918/01_0102.json
 NEW | 2026/9/19 | ｏｕｔｓｉｄｅ ｙｏｓｈｉｎｏ | 2027/2/13(土) | 沖縄県
 NEW | 2026/9/26 | ANISON PREMIUM LIVE ささきい | 2026/12/13(日) | 宮城県
 NEW | 2026/10/31 | ＡＲＡＢＡＫＩ Ｓｐｅｃｉａｌ “陸奥残響－ＴＲ | 2026/12/10(木) | 神奈川県
 NEW | 2026/10/3 | Ｒ８００コンサート 今岡友美 | 2026/12/27(日) | 愛知県
 NEW | 2026/10/3 | Ｒ８００コンサート＜３回通し券＞ | 2026/12/27(日) ～ 2027/2 | 愛知県
 NEW | 2026/10/3 | Ｒ８００コンサート 馬場淳史 | 2027/2/28(日) | 愛知県
 NEW | 2026/10/2 | 石崎ひゅーい | 2026/10/30(金) | 宮城県
 NEW | 2026/9/19 | 宇都宮隆 | 2026/11/15(日) | 福岡県
 NEW | 2026/9/30 | 宇徳敬子 | 2026/12/12(土) | 兵庫県
 NEW | 2026/9/20 | A.B.C-Z | 2026/10/14(水) ・ 2026/1 | 大阪府
 NEW | 2026/9/19 | 大江千里トリオ | 2027/1/22(金) | 福岡県
 NEW | 2026/10/25 | 押尾コータロー | 2026/12/18(金) | 大阪府
 NEW | 2026/10/10 | かのうみゆ | 2026/11/6(金) | 東京都
 NEW | 2026/10/3 | 君島大空 合奏形態 | 2026/11/24(火) | 東京都
 NEW | 2026/10/3 | 9mm Parabellum Bullet | 2026/12/5(土) | 山形県
 NEW | 2026/9/26 | KIRARA | 2026/11/12(木) | 東京都
 NEW | 2026/9/26 | クレイジーウォウウォ！！ | 2026/10/24(土) | 滋賀県
 NEW | 2026/9/26 | GLIM SPANKY | 2026/11/15(日) | 東京都
 NEW | 2026/10/8 | Ｇｌｏｃａｌ Ｐｉａｎｏ Ｆｅｓｔｉｖａｌ ２０ | 2026/11/16(月) | 東京都
 NEW | 2026/10/8 | Ｇｌｏｃａｌ Ｐｉａｎｏ Ｆｅｓｔｉｖａｌ ２０ | 2026/11/17(火) | 東京都
 NEW | TODAY | 現代サーカス集団 ながめくらしつ 『ライフワーク | 2026/12/19(土) | 兵庫県
 NEW | TODAY | 小玉梨々華 | 2026/10/6(火) | 東京都
 NEW | 2026/9/19 | 榊原ゆい | 2026/10/11(日) | 東京都
 NEW | 2026/10/3 | saccharin | 2027/1/10(日) ・ 2027/1/ | 東京都／大阪府
 NEW | 2026/9/19 | Ｓａｐｐｏｒｏ Ｃｉｔｙ Ｊａｚｚ × Ｓａｐｐ | 2026/11/29(日) | 北海道
