lg=03 total=20 pages=2
parsed items: 17 (fetched up to page 3)
already in DB (eventCd一致): 2 | NOT in DB (new candidates): 15
  うち 0件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0918/03_0202.json
 NEW | 2026/9/26 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/10/31(土) ・ 2026/1 | 福岡県
 NEW | 2026/9/26 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/10/31(土) ・ 2026/1 | 沖縄県
 NEW | 2026/9/26 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/10/31(土) ・ 2026/1 | 大阪府
 NEW | 2026/9/26 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/10/31(土) ・ 2026/1 | 神奈川県
 NEW | 2026/9/26 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/10/31(土) ・ 2026/1 | 東京都
 NEW | 2026/9/26 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/11/14(土) ・ 2026/1 | 愛知県
 NEW | 2026/9/26 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/11/14(土) ・ 2026/1 | 静岡県
 NEW | 2026/9/26 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/11/14(土) ・ 2026/1 | 茨城県
 NEW | 2026/9/26 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/11/14(土) ・ 2026/1 | 大阪府
 NEW | 2026/9/26 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/11/14(土) ・ 2026/1 | 神奈川県
 NEW | 2026/9/26 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/11/7(土) ・ 2026/11 | 神奈川県
 NEW | 2026/9/26 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/11/7(土) ・ 2026/11 | 愛知県
 NEW | 2026/9/26 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/11/7(土) ・ 2026/11 | 山口県
 NEW | 2026/9/26 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/11/7(土) ・ 2026/11 | 千葉県
 NEW | 2026/9/18 | リポビタンDチャレンジカップ2026 | 2026/10/24(土) | 東京都
