lg=07 total=287 pages=29
parsed items: 263 (fetched up to page 30)
already in DB (eventCd一致): 221 | NOT in DB (new candidates): 42
  うち 13件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0918/07_0102.json
 NEW | 2026/10/3 | Ｒ８００コンサート ＧＡＲＤＥＮ ＷＩＮＤＳ | 2027/1/24(日) | 愛知県
 NEW | 2026/10/17 | 石田組年末感謝祭2026 | 2026/12/30(水) ・ 2026/1 | 神奈川県
 NEW | 2026/9/26 | イヴァン・フィッシャー（指揮）／ブダペスト祝祭管 | 2027/2/21(日) | 神奈川県
 NEW | 2026/9/26 | イヴァン・フィッシャー（指揮）／ブダペスト祝祭管 | 2027/2/22(月) | 東京都
 NEW | 2026/10/4 | ウィーン・リング・アンサンブル ニューイヤー・コ | 2027/1/7(木) | 東京都
 NEW | 2026/10/11 | 上野耕平（サクソフォン）×山中惇史（ピアノ）×石 | 2027/3/13(土) | 兵庫県
 NEW | 2026/10/3 | 映像の世紀コンサート | 2026/12/17(木) | 東京都
 NEW | TODAY | エリザベト音楽大学 Ｚｅｎｎｅ Ｑｕａｒｔｅｔ  | 2026/11/19(木) | 広島県
 NEW | 2026/10/6 | 小笠原伸子（ｖｌ）／横浜バロック室内合奏団＆東京 | 2027/4/6(火) | 神奈川県
 NEW | 2026/9/29 | 神奈川フィルハーモニー管弦楽団 Ｆｏｒ Ｆｕｔｕ | 2027/1/7(木) | 神奈川県
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.12 | 2027/2/19(金) | 東京都
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.11 | 2027/1/23(土) | 東京都
 NEW | 2026/9/27 | 小林愛実 ピアノ・リサイタル | 2027/2/13(土) | 大阪府
 NEW | TODAY | 郷古廉（ｖｌ）／ホセ・ガヤルド（ｐ） | 2027/1/30(土) | 山形県
 NEW | 2026/11/29 | 郷古廉（ｖｌ）／横坂源（ｖｃ）／北村朋幹（ｐ） | 2027/2/23(火・祝) | 神奈川県
 NEW | 2026/9/19 | サントリーホール開館40周年記念 ウィーン・フォ | 2026/12/31(木) | 東京都
 NEW | TODAY | サントリーホール クリスマスコンサート 2026 | 2026/12/24(木) | 東京都
 NEW | TODAY | サントリーホールのクリスマス2026 | 2026/12/25(金) | 東京都
 NEW | 2026/9/27 | ザ・シンフォニー特選コンサート Ｖｏｌ．３５ 小 | 2027/1/30(土) | 大阪府
 NEW | 2026/9/25 | シエナ・ウインド・オーケストラ 第60回定期演奏 | 2027/2/13(土) | 東京都
 NEW | 2026/10/11 | 庄司紗矢香（ヴァイオリン）＆鈴木優人（チェンバロ | 2027/1/20(水) | 兵庫県
 NEW | 2026/9/19 | 新交響楽団 第２７６回演奏会 | 2027/1/9(土) | 東京都
 NEW | 2026/10/11 | 新春・顔見世コンサート | 2027/1/3(日) | 兵庫県
 NEW | 2026/9/29 | 新都民合唱団第８８回定期演奏会 | 2027/1/28(木) | 東京都
 NEW | 2026/10/3 | スギテツミュージックサロン ｉｎ 信州 ｖｏｌ． | 2027/1/9(土) | 長野県
