ブギ連 ブギる心～外伝                        9/9(水)
HIZAKI TOUR 2026「ASTRAIA」          9/12(土)
天満天神繁昌亭                            9/9(水)／9/10(木)／9/11(金)ほか
kobore                             9/12(土)
DYGL                               9/12(土)
川崎鷹也                               9/12(土)
ヤミテラ ヤミテラ ONEMAN TOUR 関西制圧         9/8(火)
Sick2 Oneman Tour 『83億の“マウス”へ』     9/10(木)／9/12(土)
矢野顕子                               9/9(水)／9/12(土)
令和八年 冬巡業 大相撲三田場所                   9/12(土)
THE BAWDIES                        9/12(土)
アンジュルム                             9/12(土)／9/13(日)
