発売時刻つきチケット 突合（OK以外のみ表示）12件:

id856 type='一般発売（大阪 8/1公演）6/17 19:00発売' ours=6/17 19:00 | fetched=[] -> ? (取得側に発売時刻null)
id856 type='一般発売（東京 8/14公演）6/17 19:00発売' ours=6/17 19:00 | fetched=[] -> ? (取得側に発売時刻null)
id859 type='先行抽選2次（福岡 11/6公演）6/17 12:00発売' ours=6/17 12:00 | fetched=[] -> ? (取得側に発売時刻null)
id860 type='一般発売（東京 7/15公演）6/17 10:00発売' ours=6/17 10:00 | fetched=[] -> ? (取得側に発売時刻null)
id865 type='一般発売（東京 9/5公演）6/17 10:00発売' ours=6/17 10:00 | fetched=[] -> ? (取得側に発売時刻null)
id873 type='先行先着プリセール（大阪 8/8・8/9公演）6/17 10:00発売' ours=6/17 10:00 | fetched=[] -> ? (取得側に発売時刻null)
id895 type='最終受付（大阪 6/22公演）本日6/17 20:00発売' ours=6/17 20:00 | fetched=[2026-06-22 20:00] -> MISMATCH
id904 type='一般発売（新潟 8/15公演）6/17 10:00発売' ours=6/17 10:00 | fetched=[] -> ? (取得側に発売時刻null)
id909 type='一般発売（東京 11/27公演）6/17 10:00発売' ours=6/17 10:00 | fetched=[] -> ? (取得側に発売時刻null)
id918 type='先着先行（東京 8/9公演）6/17 12:00発売' ours=6/17 12:00 | fetched=[] -> ? (取得側に発売時刻null)
id919 type='一般発売（東京 7/2公演）6/17 12:00発売' ours=6/17 12:00 | fetched=[] -> ? (取得側に発売時刻null)
id920 type='一般発売（北海道 6/24公演）6/17 10:00発売' ours=6/17 10:00 | fetched=[] -> ? (取得側に発売時刻null)
