7354 9mm候補(北海道10月)	2626860	９ｍｍ Ｐａｒａｂｅｌｌｕｍ Ｂｕｌｌｅｔ(キューミリパラベラムバレット) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
7417 9mm候補(秋田岩手10月)	2627496	９ｍｍ Ｐａｒａｂｅｌｌｕｍ Ｂｕｌｌｅｔ(キューミリパラベラムバレット) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
4366 9mm既存ツアー	2627501	９ｍｍ Ｐａｒａｂｅｌｌｕｍ Ｂｕｌｌｅｔ(キューミリパラベラムバレット) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
7360 サニーデイ候補	b2563931	サニーデイ・サービス | チケットぴあ[チケット購入・予約]
1236 サニーデイ既存	2623747	サニーデイ・サービス | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
7362 バンアパ候補	b2669905	the band apart | チケットぴあ[チケット購入・予約]
5846 バンアパ既存	2630843	ｔｈｅ ｂａｎｄ ａｐａｒｔ(ザバンドアパート) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
7377 ねぐせ候補	2633271	ねぐせ。(ネグセ) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
4883 ねぐせ既存	2633085	取れなかった（ぴあ混雑ページ）
7381 PassCode候補	2624372	ＰａｓｓＣｏｄｅ(パスコード) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
6923 PassCode既存	2634920	ＰａｓｓＣｏｄｅ(パスコード) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
7383 ビッケ候補	2626792	ビッケブランカ | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
5781 ビッケ既存	2616397	ビッケブランカ | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
7394 摩天楼候補	2623366	摩天楼オペラ(マテンロウオペラ) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
3139 摩天楼既存	2623237	摩天楼オペラ(マテンロウオペラ) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
7418 近藤真彦候補	2618751	近藤真彦(コンドウマサヒコ) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
7423 PEDRO候補	2627966	ＰＥＤＲＯ(ペドロ) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
3126 PEDRO既存	b2669770	PEDRO | チケットぴあ[チケット購入・予約]
7432 Guiano候補	2624486	Ｇｕｉａｎｏ(グイアノ) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
5791 Guiano既存	2617973	Ｇｕｉａｎｏ(グイアノ) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
7435 高瀬候補	2628826	高瀬統也(タカセトウヤ) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
3130 高瀬既存	2628024	高瀬統也(タカセトウヤ) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
7436 ちゃくら候補	2621227	ちゃくら(チャクラ) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
5284 ちゃくら既存	2626475	ちゃくら(チャクラ) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
7405 和田唱候補	2633419	和田唱(ワダショウ) | チケットぴあ[音楽 J-POP・ROCKのチケット購入・予約]
4612 和田唱既存	2632972	取れなかった（ご確認ください＝eventCd無効）
