「本日発売」形が残っている枠 15
  id=413 プリセール（東京 11/29公演）8/27 18:00発売 | date=2026-08-27
  id=3422 2次受付（広島 10/10公演）8/27 11:00発売 | date=2026-09-02
  id=3501 先行（富山・長野 12/5〜12/6公演）8/27 11:00発売 | date=2026-09-14
  id=3501 3次受付（静岡 R9年 1/23公演）8/27 11:00発売 | date=2026-09-14
  id=3735 プリセール（東京 11/4公演）8/27 18:00発売 | date=2026-08-27
  id=3752 プリセール（東京 11/25公演）8/27 18:00発売 | date=2026-08-27
  id=4044 3次プレリザーブ（北海道 10/31公演）8/27 11:00発売 | date=2026-09-01
  id=4142 一般発売（愛知 9/3公演）8/27 19:00発売 | date=2026-08-27
  id=4142 一般発売（大阪 9/2公演）8/27 19:00発売 | date=2026-08-27
  id=4142 一般発売（東京 9/8公演）8/27 19:00発売 | date=2026-08-27
  id=4255 一般発売（石川 11/27公演）8/27 10:00発売 | date=2026-08-27
  id=4361 先行（愛知 11/7公演）8/27 11:00発売 | date=2026-09-07
  id=4670 プリセール（東京 11/29公演）8/27 18:00発売 | date=2026-08-27
  id=4701 プリセール（東京 11/29公演）8/27 18:00発売 | date=2026-08-27
  id=4870 先行（東京 10/12公演）8/27 12:00発売 | date=2026-08-30
