501-512 venue (昨日振り分け済み):
  501: genre=anime | venue=幕張メッセ 展示ホール４～６(千葉) | pref=千葉
  502: genre=rock | venue=ROCKTOWN／CIRCUS NAGOYA／AOYAMA 月見ル君想フ | pref=大阪／愛知／東京
  503: genre=rock | venue=渋谷ＣＬＵＢ ＱＵＡＴＴＲＯ／ＬＩＱＵＩＤＲＯＯＭ(東京) | pref=東京
  504: genre=jpop | venue=キリスト品川教会 グローリア・チャペル(東京) | pref=東京
  505: genre=jazz | venue=新潟市民芸術文化会館 劇場 | pref=新潟
  506: genre=rock | venue=ＳＨＩＢＵＹＡ ＰＬＥＡＳＵＲＥ ＰＬＥＡＳＵＲＥ(東京) | pref=東京
  507: genre=jpop | venue=ＴＯＫＹＯ ＦＭホール(東京) | pref=東京
  508: genre=jpop | venue=ヤマハホール(東京) | pref=東京
  509: genre=rock | venue=梅田クラブクアトロ／名古屋クラブクアトロ／Spotify O-EAST | pref=大阪／愛知／東京
  510: genre=jpop | venue=ＮＨＫホール(東京) | pref=東京
  511: genre=jpop | venue=ウェスタ川越 ヤオコー大ホール(埼玉) | pref=埼玉
  512: genre=jpop | venue=ノバホール 大ホール(茨城) | pref=茨城
