引く名前 35
[1/35] hits=1 missing=0
[2/35] hits=19 missing=8
[3/35] hits=46 missing=20
[4/35] hits=38 missing=4
[5/35] hits=33 missing=6
[6/35] hits=6 missing=3
[7/35] hits=1 missing=0
[8/35] hits=3 missing=0
[9/35] hits=11 missing=1
[10/35] hits=8 missing=1
[11/35] hits=1 missing=0
[12/35] hits=2 missing=0
[13/35] hits=14 missing=0
[14/35] hits=21 missing=1
[15/35] hits=16 missing=3
[16/35] hits=3 missing=0
[17/35] hits=0 missing=0
[18/35] hits=1 missing=0
[19/35] hits=1 missing=0
[20/35] hits=11 missing=2
[21/35] hits=3 missing=1
[22/35] hits=3 missing=0
[23/35] hits=12 missing=1
[24/35] hits=30 missing=8
[25/35] hits=59 missing=13
[26/35] hits=3 missing=0
[27/35] hits=19 missing=3
[28/35] hits=1 missing=0
[29/35] hits=4 missing=2
[30/35] hits=7 missing=0
[31/35] hits=2 missing=0
[32/35] hits=4 missing=0
[33/35] hits=1 missing=1
[34/35] hits=1 missing=0
[35/35] hits=1 missing=0
→ tmp/x0914/audit_posts2.txt
