足した枠 24 / 既存のurl空に焼き込んだ 12 / 触ったエントリ 14件
  id=4538  Juice=Juice                        ＋4枠  2026年9月18日(金)〜2026年11月25日(水) 全国
  id=3879  カキンツハルカ                            ＋1枠  2027年1月11日(月)〜2027年2月13日(土) 全国
  id=4864  柳亭小痴楽 全国ツアー カチコミ’26                ＋1枠  2026年9月24日(木)〜2026年12月22日(火) 宮城・東京
  id=7543  柳亭小痴楽 瀧川鯉八 二人会                     ＋1枠  2026年10月20日(火)〜2026年11月6日(金) 愛知・東京
  id=620   イルカ 2026                           ＋8枠  2026年9月17日(木)〜2027年3月7日(日) 全国
  id=2796  ザ・キングズ・シンガーズ                       ＋1枠  2026年12月5日(土)〜2026年12月13日(日) 東京・大分
  id=4805  中川晃教                               ＋1枠  2026年11月21日(土)〜2026年12月2日(水) 東京
  id=7109  原田真二                               ＋1枠  2026年11月7日(土)〜2026年11月21日(土) 東京・大阪
  id=2121  春風亭一之輔独演会                          ＋1枠  2026年10月29日(木)〜2027年2月21日(日) 全国
  id=1107  柳家花緑独演会                            ＋1枠  2026年10月16日(金)〜2026年12月20日(日) 全国
  id=4960  森山直太朗                              ＋1枠  2026年10月22日(木)〜2027年1月7日(木) 全国
  id=4118  神はサイコロを振らない                        ＋1枠  2026年10月30日(金)〜2026年12月6日(日) 全国
  id=3117  佐野元春&THE COYOTE BAND               ＋1枠  2026年9月19日(土)〜2027年3月20日(土) 全国
  id=3117  佐野元春&THE COYOTE BAND               ＋1枠  2026年9月19日(土)〜2027年3月20日(土) 全国

(--apply で書き込み)
