ぴあ lg=06 で9/18〜9/20発売の行 47件 ／ OSHINAVIにその日の枠が無い 15件
  2026-09-18 【当日引換券】ＫＹＯＭＡＦ都市伝説ＬＩＶＥ２０２６ ～Ｍｒ．都市伝説 関暁夫の国際裏シンポジウム～ | 一般発売 | ロームシアター京都 メインホール(京都府) | 未登録 https://ticket.pia.jp/pia/event.do?eventCd=2637660
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜大阪ステーションシティ店＞／前期10月29日(木)～11月6日(金)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 大阪ステーションシティ店(大阪府) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671150
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜大阪ステーションシティ店＞／前期10月29日(木)～11月6日(金)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 大阪ステーションシティ店(大阪府) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671150
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜大阪ステーションシティ店＞／後期11月7日(土)～11月15日(日)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 大阪ステーションシティ店(大阪府) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671154
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜渋谷店＞／前期10月29日(木)～11月9日(月)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 渋谷店(東京都) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671151
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜渋谷店＞／後期11月10日(火)～11月22日(日)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 渋谷店(東京都) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671157
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜渋谷店＞／後期11月10日(火)～11月22日(日)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 渋谷店(東京都) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671157
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜名古屋栄スカイル店＞／前期10月29日(木)～11月6日(金)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 名古屋栄スカイル店(愛知県) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671149
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜名古屋栄スカイル店＞／後期11月7日(土)～11月15日(日)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 名古屋栄スカイル店(愛知県) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671153
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜福岡店＞／前期10月29日(木)～11月6日(金)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 福岡店(福岡県) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671152
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜福岡店＞／前期10月29日(木)～11月6日(金)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 福岡店(福岡県) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671152
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜福岡店＞／後期11月7日(土)～11月15日(日)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 福岡店(福岡県) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671156
  2026-09-18 特別展「源氏物語 王朝のかがやき」 | 一般発売 | 東京国立博物館 平成館(東京都) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671002
  2026-09-19 横浜ＤｅＮＡベイスターズ ｖｓ 阪神タイガース 爆笑トークバトル２０２７ | 一般発売 | 関内ホール 大ホール(神奈川県) | 未登録 https://ticket.pia.jp/pia/event.do?eventCd=2632369
  2026-09-19 真プレミアムナイト撮影会 ｉｎ 大阪 | 先行抽選 | なんばパークスミュージアム(大阪府) | 未登録 https://ticket.pia.jp/pia/event.do?eventCd=2636534
