確かめた 15件 → 本当に抜けている 15件
  2026-09-18 【当日引換券】ＫＹＯＭＡＦ都市伝説ＬＩＶＥ２０２６ ～Ｍｒ．都市伝説 関暁夫の国際裏シンポジウム～ | 一般発売 | 京都 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventCd=2637660
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜大阪ステーションシティ店＞／前期10月29日(木)～11月6日(金)開催分 | 一般発売 | 大阪 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671150
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜大阪ステーションシティ店＞／前期10月29日(木)～11月6日(金)開催分 | 一般発売 | 大阪 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671150
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜大阪ステーションシティ店＞／後期11月7日(土)～11月15日(日)開催分 | 一般発売 | 大阪 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671154
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜渋谷店＞／前期10月29日(木)～11月9日(月)開催分 | 一般発売 | 東京・京都 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671151
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜渋谷店＞／後期11月10日(火)～11月22日(日)開催分 | 一般発売 | 東京・京都 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671157
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜渋谷店＞／後期11月10日(火)～11月22日(日)開催分 | 一般発売 | 東京・京都 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671157
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜名古屋栄スカイル店＞／前期10月29日(木)～11月6日(金)開催分 | 一般発売 | 愛知 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671149
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜名古屋栄スカイル店＞／後期11月7日(土)～11月15日(日)開催分 | 一般発売 | 愛知 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671153
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜福岡店＞／前期10月29日(木)～11月6日(金)開催分 | 一般発売 | 福岡 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671152
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜福岡店＞／前期10月29日(木)～11月6日(金)開催分 | 一般発売 | 福岡 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671152
  2026-09-18 銀河特急ミルキー☆サブウェイ × TOWER RECORDS CAFE＜福岡店＞／後期11月7日(土)～11月15日(日)開催分 | 一般発売 | 福岡 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671156
  2026-09-18 特別展「源氏物語 王朝のかがやき」 | 一般発売 | 東京・京都 | 足す先=5479 候補=[5479] https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671002
  2026-09-19 横浜ＤｅＮＡベイスターズ ｖｓ 阪神タイガース 爆笑トークバトル２０２７ | 一般発売 | 神奈川 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventCd=2632369
  2026-09-19 真プレミアムナイト撮影会 ｉｎ 大阪 | 先行抽選 | 大阪 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventCd=2636534
