ぴあ lg=01 で9/12〜9/14発売の行 160件 ／ OSHINAVIにその日の枠が無い 34件
  2026-09-19 秋山黄色 | 一般発売 | 金沢ＥＩＧＨＴ ＨＡＬＬ(石川県) | 登録あり id2743（その日の枠なし）
  2026-09-19 亜咲花 | 一般発売 | 中日ホール(愛知県) | 未登録 https://ticket.pia.jp/pia/event.do?eventCd=2634691
  2026-09-19 ＴＨＥイナズマ戦隊 | 一般発売 | ＢＥＳＳＩＥ ＨＡＬＬ(北海道) | 登録あり id2407（その日の枠なし）
  2026-09-19 ｏｆ ＢＬＵＥ ｖｏｌ．９ ｂｙ ＨＯＴ ＳＴＵＦＦ | 一般発売 | ＧＡＲＤＥＮ新木場ＦＡＣＴＯＲＹ(東京都) | 未登録 https://ticket.pia.jp/pia/event.do?eventCd=2631204
  2026-09-19 角松敏生 | 一般発売 | 盛岡市民文化ホール 大ホール(岩手県) | 登録あり id1164（その日の枠なし）
  2026-09-19 kanekoayano | 一般発売 | Ｚｅｐｐ Ｓａｐｐｏｒｏ(北海道) | 登録あり id2811（その日の枠なし）
  2026-09-19 がらり | 一般発売 | Ｓｈｉｂｕｙａ ＷＷＷ(東京都) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670793
  2026-09-19 September JAM(ARTS／風とロック芋煮会／オハラ☆ブレイク’26／湖畔の秋空と赤い花火) | 一般発売 | 天神浜オートキャンプ場(福島県) | 登録あり id7611（その日の枠なし）
  2026-09-19 September JAM(ARTS／風とロック芋煮会／オハラ☆ブレイク’26／湖畔の秋空と赤い花火) | 一般発売 | 天神浜オートキャンプ場(福島県) | 登録あり id7611（その日の枠なし）
  2026-09-19 コブクロ | 一般発売 | 札幌文化芸術劇場ｈｉｔａｒｕ(北海道) | 登録あり id4038（その日の枠なし）
  2026-09-19 斉藤和義 | 一般発売 | 旭川市民文化会館 大ホール(北海道)／帯広市民文化ホール 大ホール(北海道)／札幌市教育文化会館 大ホール(北海道) | 登録あり id876（その日の枠なし）
