カテゴリ 50／読んだ一覧ページ 393

cat    名前                         全ページ    読んだ件     未登録
31     邦楽ポップ／ロック                   121    2888    2226
53     お笑い／寄席                       61    1441    1352
35     邦楽その他                        24     552     388
43     音楽その他                        27     627     381
52     イベントその他                      23     518     262
33     邦楽ソウル／R&B                     9     214     141
36     洋楽ポップ／ロック                     7     160     132
30     ジャズ／フュージョン                    8     169     129
67     器楽／室内楽                        4      96      91
54     演劇                            6     125      90
32     邦楽ヒップホップ／レゲエ                  7     148      79
77     その他                           6     122      77
55     ダンス／パフォーマンス                   9     193      72
39     洋楽その他                         4      73      64
42     フェスティバル(音楽)                   6     129      55
70     クラシックその他                      3      54      50
38     洋楽ソウル／R&B                     3      53      48
61     演劇その他                         4      77      44
48     ファミリー／子ども向け                   3      49      31
68     オペラ／声楽／合唱                     2      35      29
29     アイドル                         58     120      27
47     グルメ／ディナーショー                   2      40      27
34     邦楽演歌／民謡                       2      37      26
57     朗読／リーディング                     2      35      26
58     ミュージカル／ショー                    3      51      24
76     アート・ミュージアム                    2      35      24
44     脱出／謎解き                        2      28      20
40     アカペラ／合唱                       2      28      19
69     吹奏楽                           1      17      17
75     映画                            1      21      17
37     洋楽ヒップホップ／レゲエ                  1      18      15
50     ファッション／ビューティー                 1      19      12
51     展示会／博覧会                       2      28      11
59     フェスティバル(演劇)                   1      18      10
66     オーケストラ                        1      10      10
73     格闘技                           1       9       8
74     スポーツその他                       1      13       7
49     アニメ／ゲーム                       2      42       6
46     トークショー／講演会                   11      60       4
56     バレエ                           1       4       4
60     マジック／手品                       1       5       4
79     歌い手                          16      96       4
41     アニメ／ゲーム／声優                    9      96       3
45     ショー／ファンイベント                  12      65       3
80     ボカロ                           8      48       2
82     2.5次元                         1      11       2
72     球技                            1       6       1
78     K-POP                         1      14       1
81     YouTuber                      4      48       1
84     VTuber                        1      24       1

合計 読んだ件 8769 ／ 未登録 6077
