id620 イルカ | 一般発売（東京 10/15公演）〜10/14 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2621591', 'https://ticket.pia.jp/pia/event.do?eventBundleCd=b2667819']
id620 イルカ | 一般発売（鹿児島 10/27公演）〜10/26 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2621605', 'https://ticket.pia.jp/pia/event.do?eventBundleCd=b2667819']
id620 イルカ | 一般発売（広島 10/28公演）〜10/27 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2621607', 'https://ticket.pia.jp/pia/event.do?eventBundleCd=b2667819']
id620 イルカ | 一般発売（愛媛 10/29公演）〜10/28 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2621610', 'https://ticket.pia.jp/pia/event.do?eventBundleCd=b2667819']
id620 イルカ | 一般発売（兵庫 11/6公演）〜11/5 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2625840', 'https://ticket.pia.jp/pia/event.do?eventBundleCd=b2667819']
id620 イルカ | 一般発売（神奈川 11/8公演）〜11/7 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2625847', 'https://ticket.pia.jp/pia/event.do?eventBundleCd=b2667819']
id620 イルカ | 一般発売（茨城 11/9公演）〜11/8 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2625849', 'https://ticket.pia.jp/pia/event.do?eventBundleCd=b2667819']
id672 The Novembers | 一般発売（東京 11/20公演）〜11/19 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2622631', 'https://ticket.pia.jp/pia/event.do?eventBundleCd=b2668937']
id1107 柳家花緑独演会 | 一般発売（東京 10/24公演）〜10/21 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2626866', 'https://ticket.pia.jp/pia/event.do?eventBundleCd=b2670634']
id1202 鶴 | 一般発売（大分 9/23公演）〜9/22 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2623110', 'https://ticket.pia.jp/pia/event.do?eventBundleCd=b2665969']
id1202 鶴 | 一般発売（愛媛・高知 9/26〜9/27公演）〜9/26 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2622986', 'https://ticket.pia.jp/pia/event.do?eventBundleCd=b2665969']
id1202 鶴 | 一般発売（沖縄 10/6公演）〜10/5 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2624277', 'https://ticket.pia.jp/pia/event.do?eventBundleCd=b2665969']
id1776 ウィーン・ヨハン・シュトラウス管弦楽団 ニューイヤー・コ | 一般発売（福岡 R9年 1/6公演）〜1/5 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2624186', 'https://t.pia.jp/pia/event/event.do?eventBundleCd=b2670976']
id2080 読響名曲シリーズ | 一般発売 1月公演（東京 R9年 1/28公演）10/11 10:00発売 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2543735', None]
id2080 読響名曲シリーズ | 一般発売 10～11月公演（東京 10/23〜11/24公演）〜11/24 18:0 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2543735', None]
id2080 読響名曲シリーズ | 一般発売 12月公演（東京 12/22公演）〜12/22 18:00 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2543735', None]
id2081 読響横浜マチネーシリーズ | 一般発売 1月公演（神奈川 R9年 1/30公演）10/11 10:00発売 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2543739', None]
id2081 読響横浜マチネーシリーズ | 一般発売 10～11月公演（神奈川 10/25〜11/29公演）〜11/29 13: ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2543739', None]
id2081 読響横浜マチネーシリーズ | 一般発売 12月公演（神奈川 12/27公演）〜12/27 13:00 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2543739', None]
id2159 柴咲コウ | 一般発売（山梨 11/20公演）〜11/4 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2629966', 'https://t.pia.jp/pia/event/event.do?eventBundleCd=b2669601']
id2159 柴咲コウ | 一般発売（長野 11/29公演）〜11/12 23:59 ×2 | url=['https://t.pia.jp/pia/event/event.do?eventCd=2630193', 'https://t.pia.jp/pia/event/event.do?eventBundleCd=b2669601']
