lg=01 total=456 pages=46
parsed items: 372 (fetched up to page 47)
already in DB (eventCd一致): 332 | NOT in DB (new candidates): 40
  うち 24件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/x0920/presale_01.json
 NEW | 2026/9/26 | ANISON PREMIUM LIVE ささきい | 2026/12/13(日) | 宮城県
 NEW | 2026/10/2 | 石崎ひゅーい | 2026/10/30(金) | 宮城県
 NEW | 2026/10/11 | イルカ | 2027/1/17(日) | 埼玉県
 NEW | 2026/9/26 | ｅｓｑ | 2026/12/6(日) | 大阪府
 NEW |  | FTISLAND | 2026/9/20(日) | 
 NEW | TODAY | ＯＣＴＰＡＴＨ | 2026/11/19(木) | 東京都
 NEW | 2026/9/25 | 小曽根真 クリスマス・ジャズナイト２０２６ | 2026/12/19(土) ・ 2026/1 | 東京都
 NEW | 2026/10/2 | 角川博／木村徹二 | 2027/1/15(金) | 栃木県
 NEW | 2026/10/10 | ＫＩＤ ＦＲＥＳＩＮＯ | 2026/12/10(木) | 東京都
 NEW | 2026/10/10 | KID FRESINO | 2026/12/14(月) | 大阪府
 NEW | 2026/10/3 | 9mm Parabellum Bullet | 2026/12/5(土) | 山形県
 NEW | 2026/9/26 | KIRARA | 2026/11/12(木) | 東京都
 NEW | 2026/9/26 | GLIM SPANKY | 2026/11/15(日) | 東京都
 NEW | TODAY | 交流コンサート 信長まつり 第４弾 | 2026/12/27(日) | 岡山県
 NEW | 2026/9/27 | 国府弘子 アコースティックトリオ ｗｉｔｈ 小野 | 2027/1/24(日) | 福岡県
 NEW | 2026/9/26 | ＳＯＵＴＨ ＹＡＡＤ ＭＵＺＩＫ 大忘年会 ２０ | 2026/12/27(日) | 大阪府
 NEW | 2026/10/3 | saccharin | 2027/1/10(日) ・ 2027/1/ | 東京都／大阪府
 NEW | 2026/10/3 | 佐野元春&THE COYOTE BAND | 2026/12/27(日) | 熊本県
 NEW | 2026/10/1 | ＳＨＩＢＵＹＡ ＭＵＳＩＣ ＣＲＯＳＳＯＶＥＲ  | 2027/1/9(土) | 東京都
 NEW | 2026/10/16 | 白井貴子 ＆ THE CRAZY BOYS | 2027/1/23(土) | 神奈川県
 NEW | 2026/9/26 | ｓｙｒｕｐ１６ｇ | 2026/11/24(火) | 大阪府
 NEW | 2026/10/2 | 神聖かまってちゃん | 2026/11/20(金) | 大阪府
 NEW | 2026/10/3 | Jane Remover | 2026/12/9(水) | 東京都
 NEW | 2026/10/10 | 杉山清貴 | 2026/12/19(土) | 神奈川県
 NEW | 2026/10/12 | 宝くじ文化公演 水曜日のカンパネラスペシャルライ | 2027/1/17(日) | 栃木県
