=== reconcile_pia (today=2026-09-20) 対象257件 ===

✅ id=17325 FCティアモ枚方対横河武蔵野FC JFLリーグ戦 | 登録1=ぴあ1 一致
✅ id=17328 ゴールデンチャイルドボクシング VOL.146 | 登録1=ぴあ1 一致
✅ id=17329 ジャパンラグビー リーグワン ライジング2026 | 登録1=ぴあ1 一致
✅ id=17330 第42回オープントーナメント東北空手道選手権大会 | 登録1=ぴあ1 一致
✅ id=17331 栃木SC対レイラック滋賀FC 明治安田J3リーグ | 登録3=ぴあ3 一致
✅ id=17332 2026 パーソル クライマックスシリーズ パ  | 登録1=ぴあ1 一致
✅ id=17333 2026 パーソル クライマックスシリーズ パ  | 登録1=ぴあ1 一致
✅ id=17334 2026 パーソル クライマックスシリーズ パ  | 登録1=ぴあ1 一致
✅ id=17335 2026 パーソル クライマックスシリーズ パ  | 登録1=ぴあ1 一致
✅ id=17336 2026 パーソル クライマックスシリーズ パ  | 登録1=ぴあ1 一致
✅ id=17337 「GROTESQQQUE-グロテスク-」完成披露 | 登録2=ぴあ2 一致
✅ id=17338 TOKAI創造映像祭2026 | 登録5=ぴあ5 一致
✅ id=17339 『逃げろお嬢さん』舞台挨拶 | 登録7=ぴあ7 一致
✅ id=17340 『僕のヒーローアカデミア』キャラクターマッチアッ | 登録1=ぴあ1 一致
✅ id=17341 『楽園追放 心のレゾナンス』完成披露上映会 | 登録2=ぴあ2 一致
✅ id=17342 『私はあなたを知らない、』公開1か月記念!上映後 | 登録2=ぴあ2 一致
✅ id=17343 第110回記念二科展 併催 第75回こども二科展 | 登録2=ぴあ2 一致
✅ id=17344 伊藤あさひトークショー | 登録1=ぴあ1 一致
✅ id=17345 踊る大捜査線 THE MUSEUM ～事件はサッ | 登録2=ぴあ2 一致
✅ id=17346 『奇談師 大槻ケンヂ自選短編集』出版記念 大槻ケ | 登録1=ぴあ1 一致
✅ id=17347 木村良平 Talk Show | 登録2=ぴあ2 一致
✅ id=17348 九州共立大学 第62回霜月祭 スペシャルトークシ | 登録1=ぴあ1 一致
✅ id=17349 シルク・ドゥ・ソレイユ 「アース製薬 クーザ」文 | 登録2=ぴあ2 一致
✅ id=17351 JANGHYUK DINNER SHOW 202 | 登録1=ぴあ1 一致
✅ id=17352 2026年度五井平和財団フォーラム「希望をつなぎ | 登録1=ぴあ1 一致
✅ id=17353 050-5893-5336展（ひとのでんわ展）名 | 登録2=ぴあ2 一致
✅ id=17354 二見颯一ディナーショーin宮崎 | 登録1=ぴあ1 一致
✅ id=17355 リカちゃんのON／OFF展 | 登録3=ぴあ3 一致

=== 集計: OK 28 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 35/50 / 未照合 skip15(同締切の枠が複数で対を確定できない) ===
   ※未照合の枠は「正しい」と確認できていない枠。QC 0＝全部正しい、ではない。
