=== reconcile_pia (today=2026-09-20) 対象3935件 ===

✅ id=17250 OCTPATH | 登録1=ぴあ1 一致
✅ id=17251 小曽根真 クリスマス・ジャズナイト2026 | 登録2=ぴあ2 一致
✅ id=17252 角川博／木村徹二 | 登録1=ぴあ1 一致
✅ id=17253 KID FRESINO | 登録1=ぴあ1 一致
✅ id=17254 KID FRESINO | 登録2=ぴあ2 一致
✅ id=17258 交流コンサート 信長まつり 第4弾 | 登録1=ぴあ1 一致
✅ id=17259 国府弘子 アコースティックトリオ with 小野 | 登録1=ぴあ1 一致
✅ id=17260 SOUTH YAAD MUZIK 大忘年会 20 | 登録2=ぴあ2 一致
✅ id=17263 SHIBUYA MUSIC CROSSOVER  | 登録1=ぴあ1 一致
✅ id=17269 宝くじ文化公演 水曜日のカンパネラスペシャルライ | 登録1=ぴあ1 一致
✅ id=17271 TENDRE | 登録1=ぴあ1 一致
✅ id=17274 【動画配信】前川清ライブ2026 BEYOND～ | 登録1=ぴあ1 一致
✅ id=17276 Hakubi | 登録2=ぴあ2 一致
✅ id=17277 第43回マーチングバンド中国大会 | 登録1=ぴあ1 一致
✅ id=17278 MUSIC IN MOTION! support | 登録2=ぴあ2 一致
✅ id=17281 安杜羽加〈いぎなり東北産〉 | 登録1=ぴあ1 一致
✅ id=17290 春風亭一朝 人形町たまて箱 一花による第3回自分 | 登録1=ぴあ1 一致
✅ id=17291 新国立劇場バレエ研修所公演 「バレエ・コンサート | 登録1=ぴあ1 一致
✅ id=17295 東京シティ・バレエ団 現代バレエII「交差する感 | 登録3=ぴあ3 一致
✅ id=17296 兵動・小籔のおしゃべり一本勝負 | 登録1=ぴあ1 一致
✅ id=17299 『マクベス』地点ver.モルドバ国立サチリクス劇 | 登録1=ぴあ1 一致
✅ id=17301 山本卓卓×北尾亘『となり街の知らない踊り子』 | 登録1=ぴあ1 一致
✅ id=17302 よってたかって新春らくご ’27 | 登録1=ぴあ1 一致
✅ id=17303 燐光群 『原爆は京都に落とされるはずだった』 | 登録1=ぴあ1 一致
✅ id=17304 令和状況劇場「下谷万年町物語」 | 登録2=ぴあ2 一致
✅ id=17305 「私、こんな役、演じてみたいんですけど。」 | 登録1=ぴあ1 一致
✅ id=17306 兄ーズピアノコンサート | 登録1=ぴあ1 一致
✅ id=17308 第5回「美しき日本のうた」 ～日本が洋楽を入れて | 登録2=ぴあ2 一致
✅ id=17310 オーケストラ・アンサンブル金沢 京都公演 《今、 | 登録1=ぴあ1 一致
✅ id=17311 クリスマスにアヴェ・マリアはいかが?III | 登録1=ぴあ1 一致
✅ id=17315 篠崎史紀ヴァイオリンリサイタル | 登録1=ぴあ1 一致
✅ id=17316 新国立劇場オペラストゥディオ(オペラ研修所) 冬 | 登録1=ぴあ1 一致
✅ id=17317 スペイン音楽の夕べ チェンバロとピアノで | 登録1=ぴあ1 一致
✅ id=17318 第74回 全日本吹奏楽コンクール 中学生の部 | 登録1=ぴあ1 一致
✅ id=17319 高橋麻子企画音楽の旅第22弾モーツァルトピアノソ | 登録1=ぴあ1 一致
✅ id=17320 成田達輝（vl）／中野翔太（p） | 登録1=ぴあ1 一致
✅ id=17321 久石譲×日本センチュリー交響楽団 特別演奏会 | 登録1=ぴあ1 一致
✅ id=17322 三浦一馬五重奏団 | 登録1=ぴあ1 一致
✅ id=17323 三浦一馬 東京グランド・ソロイスツ 10周年記念 | 登録1=ぴあ1 一致
✅ id=17324 メゾソプラノ 金子紗弓リサイタル Vol.2 | 登録1=ぴあ1 一致

=== 集計: OK 40 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 49/49 ===
