確かめた 11件 → 本当に抜けている 11件
  2026-09-20 新日本プロレス | 一般発売 | 神奈川 | 足す先=None 候補=[2557, 4262, 5755, 7070, 7471, 7472] https://ticket.pia.jp/pia/event.do?eventCd=2633600
  2026-09-20 新日本プロレス | 一般発売 | 神奈川 | 足す先=None 候補=[2557, 4262, 5755, 7070, 7471, 7472] https://ticket.pia.jp/pia/event.do?eventCd=2633661
  2026-09-20 フットサル国際親善試合＜第１戦＞ | 一般発売 | 大分 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventCd=2635073
  2026-09-20 フットサル国際親善試合＜第２戦＞ | 一般発売 | 大分 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventCd=2635074
  2026-09-21 ２０２６ パーソル クライマックスシリーズ パ ファイナルステージ 福岡ソフトバンクホークス対ファーストステージ勝者 みずほＰａｙＰａｙドーム車イス用駐車場予約券 | 一般発売 | 福岡 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventCd=2636286
  2026-09-22 ２０２６ パーソル クライマックスシリーズ パ ファイナルステージ 福岡ソフトバンクホークス対ファーストステージ勝者 みずほＰａｙＰａｙドーム一般駐車場予約券 | 一般発売 | 福岡 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventCd=2636308
  2026-09-22 ２０２６ パーソル クライマックスシリーズ パ ファイナルステージ１０／１４～１６ 福岡ソフトバンクホークス対ファーストステージ勝者 | 一般発売 | 福岡 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventCd=2634442
  2026-09-22 ２０２６ パーソル クライマックスシリーズ パ ファイナルステージ１０／１７～１９ 福岡ソフトバンクホークス対ファーストステージ勝者 | 一般発売 | 福岡 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventCd=2634445
  2026-09-22 ２０２６ パーソル クライマックスシリーズ パ ファイナルステージ１０／２０ 福岡ソフトバンクホークス対ファーストステージ勝者 | 一般発売 | 福岡 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventCd=2634446
  2026-09-22 ２０２６ パーソル クライマックスシリーズ パ ファイナルステージ 福岡ソフトバンクホークス対ファーストステージ勝者 みずほＰａｙＰａｙドーム車イスゾーン | 一般発売 | 福岡 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventCd=2634998
  2026-09-22 福岡ソフトバンクホークス 英国風パブ ＨＵＢ スポーツバーシート観戦 （１０／１４～２０） | 一般発売 | 福岡 | 足す先=None 候補=[] https://ticket.pia.jp/pia/event.do?eventCd=2637195
