=== e+ 発売前スイープのまとめ（2026-09-21）===
  anime-song            3件
  classic               0件
  enka                  7件
  hiphop-rap            2件
  idol                 11件
  jazz-fusion          10件
  k-pop-asian           0件
  rock-indies          52件
  visual              161件

ユニーク（登録済みを外した）= 237件

  4584910001 | 2026/10/12(月・祝) | anime-song           | 先着 SEASONS【FAKE & ONE OF A KIND】
  4578200001 | 2026/10/16(金) | visual               | 先着 グラビティ ONEMAN ラグナロク-六生誕祭2026-
  4587760001 | 2026/10/18(日) | visual               | 先着 おいでよ!幽霊ズ主催【熱地獄】～第二話～
  4595740001 | 2026/10/19(月) | visual               | 先着 シンギュラリティ無料定期公演 シンギュラHALLOWEEN2026
  4599220001 | 2026/10/19(月) | visual               | 先着 ヤミテラ ハロウィンワンマンツアー「ヤミハロ2026」
  4605070001 | 2026/10/22(木) | rock-indies          | 先着 タカハシコウスケ masterminds 「Harajuku Neo City Mus
  4596990001 | 2026/10/22(木) | visual               | 先着 池袋スタンダード
  4317360001 | 2026/10/24(土) | idol                 | 先着 ロージークロニクル
  3746860001 | 2026/10/24(土) | idol                 | 先着 OCHA NORMA
  4596810001 | 2026/10/24(土) | rock-indies          | 抽選 シンガーズハイ×NELKE<日本大学 藤桜祭> 藤桜祭 Special Live 20
  0145460001 | 2026/10/25(日) | idol                 | 先着 モーニング娘。’26
  4578060001 | 2026/10/25(日) | visual               | 先着 IKUMA BIRTHDAY LIVE 2026 「Nexus 4」
  4595120001 | 2026/10/25(日) | visual               | 先着 水田魔梨プロデュースワンマン 「水田魔梨の衣装を着てみようの会」
  2495990001 | 2026/10/26(月) | idol                 | 先着 つばきファクトリー
  4599040001 | 2026/10/26(月) | visual               | 先着 ヤミテラ ハロウィンワンマンツアー「ヤミハロ2026」
  4602440001 | 2026/10/26(月) | visual               | 先着 HERO presents Halloween ONEMAN 2026
  3681250001 | 2026/10/28(水) | rock-indies          | 先着 わんちゃんわんわんねこにゃんにゃん ツーショット撮影会 DDハロウィン大メロメロタイム
  4599730001 | 2026/10/28(水) | visual               | 先着 ヤミテラ ハロウィンワンマンツアー 「ヤミハロ2026」
  4601110001 | 2026/10/3(土) | visual               | 先着 みお生誕単独公演「無余涅槃」昼の部
  4601120001 | 2026/10/3(土) | visual               | 先着 みお生誕単独公演「無余涅槃」夜の部
  0004380001 | 2026/10/30(金) | rock-indies          | 先着 machine
  4605780001 | 2026/10/30(金) | visual               | 先着 ハロウィンワンマン 「推さないといたずらするぞ」 2F自由席
  4582640001 | 2026/10/7(水) | rock-indies          | 先着 0.1gの誤算×バックドロップシンデレラ ツーマン企画 「スキンヘッドVSロン毛」
  4605810001 | 2026/10/7(水) | visual               | 先着 LAYCLE「ここが地元」と言い張るツアーfinal東京編
