=== reconcile_pia (today=2026-09-21) 対象26件 ===

✅ id=20372 相川七瀬 | 登録1=ぴあ1 一致
✅ id=20373 I Don’t Like Mondays. | 登録1=ぴあ1 一致
✅ id=20374 秋山黄色 | 登録11=ぴあ11 一致
✅ id=20375 Adult family | 登録4=ぴあ4 一致
✅ id=20376 アナタ・ボリビア | 登録6=ぴあ6 一致
✅ id=20377 アニマーシブライブ 「竜とそばかすの姫 -PRO | 登録2=ぴあ2 一致
✅ id=20378 新居昭乃 | 登録1=ぴあ1 一致
✅ id=20379 アンダーグラフ | 登録3=ぴあ3 一致
✅ id=20380 ARK BRASS & 松井秀太郎 スター・ウォ | 登録1=ぴあ1 一致
✅ id=20381 石川さゆり | 登録2=ぴあ2 一致
✅ id=20382 弌誠 | 登録1=ぴあ1 一致
✅ id=20383 イルカ | 登録4=ぴあ4 一致
✅ id=20384 インス | 登録1=ぴあ1 一致
✅ id=20385 インナージャーニー | 登録1=ぴあ1 一致
✅ id=20386 INFINITE | 登録2=ぴあ2 一致
✅ id=20387 umi conexion Hayamatic!  | 登録1=ぴあ1 一致
✅ id=20388 H ZETTRIO | 登録1=ぴあ1 一致
✅ id=20389 AIMING FOR ENRIKE JAPAN  | 登録1=ぴあ1 一致
✅ id=20390 Etoneige | 登録2=ぴあ2 一致
✅ id=20391 【当日引換券】EPO | 登録1=ぴあ1 一致
✅ id=20392 ERIK GRONWALL | 登録1=ぴあ1 一致
✅ id=20393 .ENDRECHERI. どない夜ねん ～ご無理 | 登録1=ぴあ1 一致
✅ id=20394 ACE COLLECTION | 登録1=ぴあ1 一致
✅ id=20395 osage | 登録4=ぴあ4 一致
✅ id=20396 Ochunism | 登録15=ぴあ15 一致
✅ id=20397 オレンジスパイニクラブ | 登録11=ぴあ11 一致

=== 集計: OK 26 / 🚨MISSING 0 / ⚠️DROP 0 / 💤STALE 0 / ❌FETCH 0 / ❌QC 0 ===
=== QC照合カバレッジ: 照合できた枠 80/80 ===
