lg=01 total=4831 pages=484
ページ範囲 61〜160（想定484ページ中）
parsed items: 235 (fetched up to page 161)
already in DB (eventCd一致): 210 | NOT in DB (new candidates): 25
  うち 17件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/x0921/uke_01_p61.json
 NEW |  | ＡＣＥ ＣＯＬＬＥＣＴＩＯＮ | 2026/11/27(金) | 大阪府
 NEW |  | 大森靖子 | 2026/9/23(水・祝) | 新潟県
 NEW |  | 大森靖子 | 2026/10/7(水) | 東京都
 NEW |  | 小椋佳 | 2026/9/28(月) | 北海道
 NEW |  | 小椋佳 | 2026/10/8(木) | 福岡県
 NEW |  | 尾崎亜美 | 2026/10/10(土) | 東京都
 NEW |  | 尾崎亜美 | 2026/11/1(日) | 愛知県
 NEW |  | 尾崎裕哉 | 2026/9/27(日) | 東京都
 NEW |  | 尾崎裕哉 | 2026/11/22(日) | 大阪府
 NEW |  | 尾崎裕哉 | 2026/11/23(月・祝) | 愛知県
 NEW |  | 尾崎裕哉 | 2026/11/29(日) | 東京都
 NEW |  | 小曽根真(p) | 2026/10/6(火) | 東京都
 NEW |  | 小田純平 | 2026/11/1(日) | 大阪府
 NEW |  | HONEST | 2026/6/27(土) ～ 2026/10 | 宮城県／栃木県／東京都／神奈川県／岐阜県／静岡県／愛知県／大阪府／兵庫県／岡山県／広島県／香川県／福岡県
 NEW |  | 小山田壮平 | 2026/10/17(土) | 福岡県
 NEW |  | 陰陽座 | 2026/9/24(木) | 愛知県
 NEW |  | 陰陽座 | 2026/10/6(火) | 東京都
 NEW |  | 甲斐よしひろ | 2026/10/10(土) | 大阪府
 NEW |  | 影山ヒロノブ | 2026/9/6(日) ・ 2026/9/2 | 京都府／熊本県
 NEW |  | 風とロック芋煮会ｉｎ Ｓｅｐｔｅｍｂｅｒ ＪＡＭ | 2026/9/22(火・祝) | 福島県
 NEW |  | 風とロック芋煮会ｉｎ Ｓｅｐｔｅｍｂｅｒ ＪＡＭ | 2026/9/21(月・祝) ・ 2026/ | 福島県
 NEW |  | 加藤いづみ | 2026/10/31(土) | 東京都
 NEW |  | 加藤ミリヤ | 2026/11/1(日) | 東京都
 NEW |  | 加藤ミリヤ | 2026/11/22(日) | 大阪府
 NEW |  | 加藤ミリヤ | 2026/11/27(金) | 福岡県
