引く名前 29
[1/29] hits=1 missing=0
[2/29] hits=2 missing=0
[3/29] hits=3 missing=0
[4/29] hits=2 missing=0
[5/29] hits=8 missing=0
[6/29] hits=3 missing=0
[7/29] hits=37 missing=4
[8/29] hits=4 missing=0
[9/29] hits=1 missing=0
[10/29] hits=1 missing=0
[11/29] hits=1 missing=0
[12/29] hits=23 missing=0
[13/29] hits=11 missing=0
[14/29] hits=10 missing=1
[15/29] hits=2 missing=0
[16/29] hits=1 missing=0
[17/29] hits=1 missing=0
[18/29] hits=2 missing=0
[19/29] hits=1 missing=0
[20/29] hits=0 missing=0
[21/29] hits=0 missing=0
[22/29] hits=11 missing=0
[23/29] hits=1 missing=0
[24/29] hits=1 missing=0
[25/29] hits=1 missing=0
[26/29] hits=1 missing=0
[27/29] hits=1 missing=0
[28/29] hits=1 missing=0
[29/29] hits=1 missing=0
→ tmp/x0922/audit_posts2.txt
