=== e+ 投入ゲート ===
  エントリ 281件 / 照合したURL 905本
  A 実ページの枠合計 962 / ビルドの枠合計 1407
  B 公演の取りこぼし 3件

[NOTE] 注意（FAILにはしない）＝実ページの枠 < ビルドの枠 128件:
   発売前の公演は個別ページに窓を出さないことがある。ビルドはbaseページから拾っている。
   id21155  三山ひろし                    実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0982430001-P0030310P021001
   id21161  ロージークロニクル                実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/4317360001-P0030016P021001
   id21161  ロージークロニクル                実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/4317360001-P0030016P021002
   id21161  ロージークロニクル                実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/4317360001-P0030017P021001
   id21161  ロージークロニクル                実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/4317360001-P0030017P021002
   id21161  ロージークロニクル                実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/4317360001-P0030020P021001
   id21161  ロージークロニクル                実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/4317360001-P0030020P021002
   id21162  OCHA NORMA               実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/3746860001-P0030081P021002
   id21162  OCHA NORMA               実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/3746860001-P0030081P021004
   id21162  OCHA NORMA               実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/3746860001-P0030081P021001
   id21162  OCHA NORMA               実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/3746860001-P0030081P021003
   id21162  OCHA NORMA               実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/3746860001-P0030089P021001
   id21162  OCHA NORMA               実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/3746860001-P0030085P021001
   id21162  OCHA NORMA               実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/3746860001-P0030085P021002
   id21162  OCHA NORMA               実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/3746860001-P0030086P021001
   id21162  OCHA NORMA               実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/3746860001-P0030086P021002
   id21162  OCHA NORMA               実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/3746860001-P0030080P021001
   id21163  モーニング娘。’26               実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0145460001-P0030502P021001
   id21163  モーニング娘。’26               実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0145460001-P0030502P021002
   id21163  モーニング娘。’26               実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/0145460001-P0030501P021001
   id21163  モーニング娘。’26               実ページ0枠 / ビルド4枠  https://eplus.jp/sf/detail/0145460001-P0030498P021002
   id21166  宮本佳林                     実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/3051710001-P0030040P021001
   id21166  宮本佳林                     実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/3051710001-P0030040P021002
   id21168  アンジュルム                   実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0432800001-P0030252P021001
   id21168  アンジュルム                   実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0432800001-P0030252P021002
   id21182  宇都宮隆                     実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0024240001-P0030226P021002
   id21182  宇都宮隆                     実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/0024240001-P0030230P021001
   id21182  宇都宮隆                     実ページ0枠 / ビルド4枠  https://eplus.jp/sf/detail/0024240001-P0030231P021002
   id21196  レキシ レキシ アコースティックツアー 20   実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0527690001-P0030173P021001
   id21196  レキシ レキシ アコースティックツアー 20   実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0527690001-P0030174P021001
   id21196  レキシ レキシ アコースティックツアー 20   実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0527690001-P0030175P021001
   id21196  レキシ レキシ アコースティックツアー 20   実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0527690001-P0030176P021001
   id21196  レキシ レキシ アコースティックツアー 20   実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0527690001-P0030177P021001
   id21196  レキシ レキシ アコースティックツアー 20   実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0527690001-P0030178P021001
   id21196  レキシ レキシ アコースティックツアー 20   実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0527690001-P0030179P021001
   id21196  レキシ レキシ アコースティックツアー 20   実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0527690001-P0030180P021001
   id21196  レキシ レキシ アコースティックツアー 20   実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0527690001-P0030181P021001
   id21198  DA PUMP                  実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0024790001-P0030148P021001
   id21198  DA PUMP                  実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/0024790001-P0030150P021001
   id21204  jo0ji                    実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/4175030001-P0030021P021001
   id21204  jo0ji                    実ページ0枠 / ビルド4枠  https://eplus.jp/sf/detail/4175030001-P0030024P021001
   id21204  jo0ji                    実ページ0枠 / ビルド4枠  https://eplus.jp/sf/detail/4175030001-P0030025P021001
   id21204  jo0ji                    実ページ0枠 / ビルド4枠  https://eplus.jp/sf/detail/4175030001-P0030026P021001
   id21204  jo0ji                    実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/4175030001-P0030027P021001
   id21204  jo0ji                    実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/4175030001-P0030029P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0035110001-P0030684P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/0035110001-P0030686P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド3枠  https://eplus.jp/sf/detail/0035110001-P0030688P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド4枠  https://eplus.jp/sf/detail/0035110001-P0030689P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030694P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030695P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030696P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030697P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030698P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030699P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030700P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030701P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド9枠  https://eplus.jp/sf/detail/0035110001-P0030702P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド9枠  https://eplus.jp/sf/detail/0035110001-P0030705P021002
   id21209  斉藤和義                     実ページ0枠 / ビルド9枠  https://eplus.jp/sf/detail/0035110001-P0030705P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド8枠  https://eplus.jp/sf/detail/0035110001-P0030706P021002
   id21209  斉藤和義                     実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0035110001-P0030706P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド6枠  https://eplus.jp/sf/detail/0035110001-P0030707P021002
   id21209  斉藤和義                     実ページ0枠 / ビルド6枠  https://eplus.jp/sf/detail/0035110001-P0030707P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/0035110001-P0030708P021001
   id21209  斉藤和義                     実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/0035110001-P0030709P021001
   id21210  松任谷由実                    実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0115600001-P0030383P021001
   id21210  松任谷由実                    実ページ0枠 / ビルド1枠  https://eplus.jp/sf/detail/0115600001-P0030383P021002
   id21227  角松敏生                     実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0022440001-P0030384P021001
   id21227  角松敏生                     実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0022440001-P0030389P021001
   id21227  角松敏生                     実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0022440001-P0030390P021001
   id21227  角松敏生                     実ページ0枠 / ビルド4枠  https://eplus.jp/sf/detail/0022440001-P0030387P021001
   id21230  藤澤ノリマサ                   実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0274120001-P0030159P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド2枠  https://eplus.jp/sf/detail/0011630001-P0030745P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/0011630001-P0030752P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド5枠  https://eplus.jp/sf/detail/0011630001-P0030753P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド7枠  https://eplus.jp/sf/detail/0011630001-P0030772P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド8枠  https://eplus.jp/sf/detail/0011630001-P0030761P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド9枠  https://eplus.jp/sf/detail/0011630001-P0030768P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド9枠  https://eplus.jp/sf/detail/0011630001-P0030754P021001
   id21232  ゴスペラーズ                   実ページ0枠 / ビルド13枠  https://eplus.jp/sf/detail/0011630001-P0030763P021001
