ぴあ lg=06 で9/22〜9/24発売の行 23件 ／ OSHINAVIにその日の枠が無い 13件
  2026-09-23 BE:FIRST × TOWER RECORDS CAFE＜池袋店＞／前期10月29日(木)～11月13日(金)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 池袋店(東京都) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671228
  2026-09-23 BE:FIRST × TOWER RECORDS CAFE＜池袋店＞／後期11月14日(土)～11月29日(日)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 池袋店(東京都) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671230
  2026-09-23 BE:FIRST × TOWER RECORDS CAFE＜梅田ＮＵ茶屋町店＞／前期11月4日(水)～11月16日(月)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 梅田ＮＵ茶屋町店(大阪府) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671229
  2026-09-23 BE:FIRST × TOWER RECORDS CAFE＜梅田ＮＵ茶屋町店＞／前期11月4日(水)～11月16日(月)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 梅田ＮＵ茶屋町店(大阪府) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671229
  2026-09-23 BE:FIRST × TOWER RECORDS CAFE＜梅田ＮＵ茶屋町店＞／後期11月17日(火)～11月29日(日)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 梅田ＮＵ茶屋町店(大阪府) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671231
  2026-09-23 BE:FIRST × TOWER RECORDS CAFE＜渋谷店＞／前期10月2日(金)～10月13日(火)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 渋谷店(東京都) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671226
  2026-09-23 BE:FIRST × TOWER RECORDS CAFE＜渋谷店＞／前期10月2日(金)～10月13日(火)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 渋谷店(東京都) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671226
  2026-09-23 BE:FIRST × TOWER RECORDS CAFE＜渋谷店＞／後期10月14日(水)～10月25日(日)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 渋谷店(東京都) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671227
  2026-09-23 BE:FIRST × TOWER RECORDS CAFE＜名古屋栄スカイル店＞／前期11月19日(木)～11月27日(金)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 名古屋栄スカイル店(愛知県) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671232
  2026-09-23 BE:FIRST × TOWER RECORDS CAFE＜名古屋栄スカイル店＞／後期11月28日(土)～12月6日(日)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 名古屋栄スカイル店(愛知県) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671234
  2026-09-23 BE:FIRST × TOWER RECORDS CAFE＜名古屋栄スカイル店＞／後期11月28日(土)～12月6日(日)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 名古屋栄スカイル店(愛知県) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671234
  2026-09-23 BE:FIRST × TOWER RECORDS CAFE＜福岡店＞／前期11月19日(木)～11月27日(金)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 福岡店(福岡県) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671233
  2026-09-23 BE:FIRST × TOWER RECORDS CAFE＜福岡店＞／後期11月28日(土)～12月6日(日)開催分 | 一般発売 | ＴＯＷＥＲ ＲＥＣＯＲＤＳ ＣＡＦＥ 福岡店(福岡県) | 未登録 https://ticket.pia.jp/pia/event.do?eventBundleCd=b2671235
