CTAリンクが出す件数（today=2026-09-23）
ジャンル             絞りなし   urgent     soon
all             16298      808     1603
kids              233       10       26
idol              969       71       96
jpop             3994      180      399
rock              267       47      141
classic          2029       80      187
jazz              290       18       31
owarai           4754      154      238
enka              183       13       24
seiyuu             23        3       12
fanevent          236       17       25
event             322       17       23
engeki            801       50      139
sports            558       50       69
movie              53        2        4
