lg=01 total=743 pages=75
parsed items: 569 (fetched up to page 76)
already in DB (eventCd一致): 507 | NOT in DB (new candidates): 62
  うち 33件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/x0926/presale_01_0102.json
 NEW | TODAY | イイオルタナビ ＃００６ | 2027/1/29(金) | 愛知県
 NEW | TODAY | 宇都宮隆 | 2026/11/8(日) | 愛知県
 NEW | 2026/10/3 | Uru | 2026/10/21(水) | 東京都
 NEW | 2026/9/27 | NMB48 | 2026/10/17(土) ・ 2026/1 | 大阪府
 NEW | 2026/10/17 | 小椋佳 | 2027/1/9(土) ・ 2027/1/2 | 富山県／長野県
 NEW | 2026/10/25 | 押尾コータロー | 2026/12/18(金) | 大阪府
 NEW | 2026/10/24 | cadode | 2027/1/22(金) | 東京都
 NEW | TODAY | KAMIGATA EXPO PARK FES 2 | 2026/10/31(土) ・ 2026/1 | 大阪府
 NEW | TODAY | KIRARA | 2026/11/12(木) | 東京都
 NEW | TODAY | ｇｏｅｔｈｅ | 2026/11/21(土) | 大阪府
 NEW | TODAY | ｇｏｅｔｈｅ | 2026/12/4(金) | 東京都
 NEW | TODAY | ＫＯＩＡＩ | 2026/10/25(日) | 神奈川県
 NEW | TODAY | 小林私 | 2026/10/25(日) | 大阪府
 NEW | 2026/12/5 | サイダーガール | 2027/1/28(木) | 東京都
 NEW | 2026/9/29 | SARI LIVE TOUR 2026 SOUN | 2026/10/31(土) | 宮城県
 NEW | TODAY | The BONEZ | 2026/11/3(火・祝) | 東京都
 NEW | TODAY | 島袋寛子 | 2026/10/8(木) | 福岡県
 NEW | 2026/10/8 | 昭和歌謡コンサート ｉｎ坂戸 | 2026/12/13(日) | 埼玉県
 NEW | 2026/10/8 | Gentle Forest Jazz Band | 2026/12/9(水) | 東京都
 NEW | 2026/10/3 | 女王様 | 2026/12/25(金) | 愛知県
 NEW | TODAY | jo0ji | 2026/11/3(火・祝) | 石川県
 NEW | TODAY | Setouchi Contemporary 20 | 2026/10/24(土) ～ 2026/1 | 岡山県
 NEW | TODAY | 第６回 全国高校 軽音楽部大会 ｗｅ ａｒｅ Ｓ | 2026/12/27(日) | 大阪府
 NEW | 2026/11/28 | 曾我泰久 | 2027/1/7(木) | 東京都
 NEW | 2026/11/15 | ＳＡＬＴ＆ＳＵＧＡＲ（Ｐｆ．塩谷哲＆Ｖｏ．佐藤竹 | 2027/2/7(日) | 栃木県
