lg=02 total=312 pages=32
parsed items: 264 (fetched up to page 33)
already in DB (eventCd一致): 240 | NOT in DB (new candidates): 24
  うち 15件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/x0926/presale_02_0102.json
 NEW | TODAY | 池袋演芸寄席 | 2026/11/20(金) | 東京都
 NEW | TODAY | 市川猿四郎☆スーパー講座「歌舞伎のいろは」浜松 | 2026/12/12(土) | 静岡県
 NEW | 2026/10/23 | いぬやま寄席 | 2027/1/24(日) | 愛知県
 NEW | TODAY | エバース倶楽部 | 2026/11/20(金) | 東京都
 NEW | 2026/10/16 | 桂文珍独演会２０２７ | 2027/1/9(土) | 石川県
 NEW | TODAY | ガクテンソク×例えば炎ツーマンライブ『宝塚ボーイ | 2026/11/20(金) | 東京都
 NEW | 2026/10/1 | 芸歴三十五周年特別公演 古今亭菊之丞独演会 | 2027/2/14(日) | 東京都
 NEW | 2026/10/3 | 劇場版、ヤストキのゲームパーク ～ラヴへの大予選 | 2026/11/23(月・祝) | 大阪府
 NEW | 2026/10/3 | 劇団扉座『歓喜の歌』海老名公演 | 2026/12/26(土) | 神奈川県
 NEW | 2026/10/13 | 宰務翔太単独ライブ「Opener」 | 2026/11/23(月・祝) | 兵庫県
 NEW | 2026/11/13 | 春風亭小朝独演会 | 2027/2/6(土) | 神奈川県
 NEW | 2026/10/9 | 新春吉本お笑いバラエティーショー２０２７ | 2027/1/2(土) ～ 2027/1/5 | 兵庫県
 NEW | TODAY | J亭スピンオフ企画45 白酒・三三 大手町二人会 | 2026/11/4(水) | 東京都
 NEW | 2026/10/24 | 次代育成落語会 | 2026/12/26(土) | 大阪府
 NEW | 2026/9/27 | 【当日引換券】談春塾 ２０２６ ＜９月公演＞ | 2026/9/29(火) ・ 2026/9/ | 東京都
 NEW | 2026/10/31 | ニューイヤー・ミュージカル・コンサート 2027 | 2027/1/9(土) ・ 2027/1/1 | 東京都
 NEW | 2026/10/3 | ＢＳよしもとｐｒｅｓｅｎｔｓ「吉本新喜劇」 | 2026/11/14(土) ・ 2026/1 | 大阪府
 NEW | 2026/10/13 | ふくおか「万作の会」 四十周年記念公演 | 2027/1/8(金) ・ 2027/1/9 | 福岡県
 NEW | 2026/10/1 | ベタバース劇場ｉｎ心斎橋角座 | 2026/11/23(月・祝) | 大阪府
 NEW | 2026/10/31 | 無双！！ ものまねＬＩＶＥ２０２７ | 2027/2/27(土) ・ 2027/2/ | 茨城県／埼玉県／新潟県
 NEW | 2026/9/29 | よしもとお笑いライブｉｎ前橋２０２６ | 2026/11/16(月) | 群馬県
 NEW | 2026/11/22 | 朗読劇『綴結』 | 2026/12/9(水) ～ 2026/12 | 東京都
 NEW | TODAY | ロングコートダディ和尚のゲーム法事 | 2026/11/22(日) | 東京都
 NEW | 2026/10/23 | ＷＡＨＡＨＡ本舗ＰＲＥＳＥＮＴＳ ワハハ本舗特別 | 2027/2/14(日) | 兵庫県
