lg=03 total=154 pages=16
parsed items: 109 (fetched up to page 17)
already in DB (eventCd一致): 90 | NOT in DB (new candidates): 19
  うち 3件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/x0926/presale_03_0102.json
 NEW |  | ＦＣ今治対ヴァンフォーレ甲府 明治安田Ｊ２リーグ | 2026/10/31(土) | 愛媛県
 NEW |  | カマタマーレ讃岐対ツエーゲン金沢 明治安田Ｊ３リ | 2026/10/21(水) | 香川県
 NEW | 2026/10/3 | ガンバ大阪対セレッソ大阪 ＶＩＰルーム【ホスピタ | 2026/11/8(日) | 大阪府
 NEW | 2026/9/29 | 【車椅子席】阪神タイガース対広島東洋カープ 公式 | 2026/10/6(火) ・ 2026/10 | 兵庫県
 NEW | 2026/10/6 | 大日本プロレス | 2026/11/14(土) | 福岡県
 NEW | 2026/10/1 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/11/28(土) ・ 2026/1 | 東京都
 NEW | 2026/10/1 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/11/14(土) ・ 2026/1 | 東京都
 NEW | 2026/10/1 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/12/25(金) ・ 2026/1 | 東京都
 NEW | 2026/10/1 | 大樹生命 Ｗリーグ ２０２６－２７ レギュラーシ | 2026/12/19(土) ・ 2026/1 | 東京都
 NEW | 2026/10/3 | 東京女子プロレス | 2026/12/26(土) | 東京都
 NEW | 2026/10/3 | 東京女子プロレス | 2027/1/4(月) | 東京都
 NEW |  | U-21名古屋対U-21神戸 U-21 Ｊリーグ | 2026/10/17(土) | 愛知県
 NEW | TODAY | 日本赤十字社 災害義援金チャリティー 第５８回オ | 2026/11/7(土) ・ 2026/11 | 東京都
 NEW | 2026/9/29 | 阪神タイガース対広島東洋カープ 公式戦 | 2026/10/6(火) ・ 2026/10 | 兵庫県
 NEW | 2026/9/29 | 阪神タイガース対広島東洋カープ 公式戦 ＤＴＳボ | 2026/10/6(火) ・ 2026/10 | 兵庫県
 NEW | 2026/9/29 | 阪神タイガース対広島東洋カープ 公式戦 「ドコモ | 2026/10/6(火) ・ 2026/10 | 兵庫県
 NEW | 2026/9/29 | 阪神タイガース対広島東洋カープ 公式戦 三ツ矢サ | 2026/10/6(火) ・ 2026/10 | 兵庫県
 NEW | 2026/9/30 | Ｙｏｕ ｗｉｌｌ ｂｅ ｔｈｅ Ｃｈａｍｐｉｏｎ | 2026/11/23(月・祝) | 大阪府
 NEW | 2026/9/27 | 令和８年 冬巡業 大相撲交野場所 | 2026/12/9(水) | 大阪府
