=== reconcile_pia (today=2026-09-26) 対象1061件 ===

✅ id=23925 Metroflex Gym presents A | 登録0=ぴあ0 一致 ／ ぴあ外7枠は対象外
✅ id=23928 Metroflex Gym presents A | 登録0=ぴあ0 一致 ／ ぴあ外7枠は対象外
✅ id=24082 イイオルタナビ #006 | 登録1=ぴあ1 一致
✅ id=24083 宇都宮隆 | 登録0=ぴあ0 一致 ／ 売り切れ1枠は対象外
✅ id=24084 Uru | 登録1=ぴあ1 一致
✅ id=24085 NMB48 | 登録1=ぴあ1 一致
✅ id=24086 小椋佳 | 登録1=ぴあ1 一致
✅ id=24087 押尾コータロー | 登録4=ぴあ4 一致
🚨 id=24088 cadode | 登録1枠 / ぴあ買える4枠
    🚨MISSING ぴあに [受付中] 〜10/25 23:59 (2026-10-25) があるが登録に無い | PG先着先行 ／ ｃａｄｏｄｅ
    🚨MISSING ぴあに [受付中] 〜9/29 23:59 (2026-09-29) があるが登録に無い | 「cadode」プレリザーブ
    🚨MISSING ぴあに [受付中] 〜10/4 23:59 (2026-10-04) があるが登録に無い | 「cadode」プレリザーブ
✅ id=24089 KAMIGATA EXPO PARK FES 2 | 登録5=ぴあ5 一致
✅ id=24090 KIRARA | 登録1=ぴあ1 一致
✅ id=24091 goethe | 登録1=ぴあ1 一致
✅ id=24092 goethe | 登録1=ぴあ1 一致
✅ id=24093 KOIAI | 登録1=ぴあ1 一致
✅ id=24094 小林私 | 登録1=ぴあ1 一致
✅ id=24095 サイダーガール | 登録1=ぴあ1 一致
✅ id=24096 SARI LIVE TOUR 2026 SOUN | 登録5=ぴあ5 一致
✅ id=24097 The BONEZ | 登録1=ぴあ1 一致
✅ id=24098 島袋寛子 | 登録1=ぴあ1 一致
✅ id=24099 昭和歌謡コンサート in坂戸 | 登録1=ぴあ1 一致
✅ id=24100 Gentle Forest Jazz Band | 登録2=ぴあ2 一致
✅ id=24101 女王様 | 登録1=ぴあ1 一致
✅ id=24102 jo0ji | 登録10=ぴあ10 一致
