
======================================================================
■ 2026-09-05(土) 発売開始 … 285枠 / 22ジャンル
======================================================================

【J-POP】145件
  0:00 神谷浩史／東京  #6540
  10:00 10-FEET／京都  #6548
  10:00 171／POLYSICS／滋賀・大阪  #4794
  10:00 826aska／神奈川  #1619
  10:00 826aska／東京  #1619
  10:00 8otto／大阪  #4070
  10:00 A Hundred Birds Orchestra／大阪  #6271
  10:00 ASCA／愛知  #4508
  10:00 BANRiC still on the road／東京  #3887
  10:00 BLUE ENCOUNT／福岡  #6550
  10:00 COUNTRY YARD／東京  #3984
  10:00 DAITA／東京  #6544
  10:00 GREENS & SECOND ROYAL presents 優遊涵泳 5／京都  #4551
  10:00 Galileo Galilei／福岡  #3474
  10:00 HOSHIKUMA MINAMI／愛知  #4388
  10:00 Juice=Juice／京都  #4538
  10:00 LAST ALLIANCE／北海道  #3985
  10:00 LAST ALLIANCE／愛知  #4523
  10:00 LET ME KNOW／東京  #4524
  10:00 LiSA／福岡  #4052
  10:00 Luciela／大阪  #3489
  10:00 Luciela／東京  #3489
  10:00 MAYSON’s PARTY／長野  #4041
  10:00 MAYSON’s PARTY／新潟  #4041
  10:00 MISIA／沖縄  #6293
  10:00 Maverick Mom／東京  #3889
  10:00 Maverick Mom／大阪  #3889
  10:00 NoGoD／埼玉県  #6016
  10:00 NoGoD／東京都  #6016
  10:00 NoGoD／千葉県  #6016
  10:00 NoGoD／福島県  #6016
  10:00 NoGoD／宮城県  #6016
  10:00 Ovall／東京  #3690
  10:00 Ovall／北海道  #3690
  10:00 Ovall／愛知  #3690
  10:00 PSYCHIC FES 2026／愛知・兵庫  #6405
  10:00 RENGEKI／【ベガ。】／My Lonely Vacation／水上クリニ／東京都  #6008
  10:00 SGC presents Godiego FEST 2026／東京  #4510
  10:00 SHIGA IDOL COLLECTION “PREMIUM”／滋賀  #6542
  10:00 Sick2／愛知県  #6009
  10:00 THE GELUGUGU／東京  #6279
  10:00 THE MODS／静岡  #3891
  10:00 THE MODS／愛知  #3891
  10:00 THE MODS／岡山  #3891
  10:00 THE MODS／神奈川  #3891
  10:00 THE MODS／東京  #3891
  10:00 THE MODS／宮城  #3891
  10:00 THE MODS／大阪  #3891
  10:00 THEイナズマ戦隊／高知  #2407
  10:00 THEイナズマ戦隊／神奈川  #2407
  10:00 TMG／北海道  #6546
  10:00 TMG／福岡  #6547
  10:00 TenTwenty／東京  #3885
  10:00 X-pt.／高知県  #6062
  10:00 XANVALA PRESENTS “VASALA FEST.2026”／神奈川  #3881
  10:00 androp／東京  #3877
  10:00 fripSide／東京  #6402
  10:00 fripSide／大阪  #6402
  10:00 meli melo osaka in toyonaka／大阪  #3890
  10:00 plenty／北海道  #5891
  10:00 yama／大阪  #4521
  10:00 いぎなり東北産／秋田  #1149
  10:00 いぎなり東北産／岩手  #1149
  10:00 おとぎ話／京都府  #6065
  10:00 おとぎ話／大阪  #6065
  10:00 さとうもか／大阪  #5728
  10:00 ふみの／大阪  #6549
  10:00 まらしぃ／東京  #4241
  10:00 まらしぃ／愛知  #4241
  10:00 アンジュルム／愛知  #4490
  10:00 アンジュルム／三重  #4490
  10:00 カキンツハルカ／東京  #3879
  10:00 コドモパーティーIII／埼玉  #4023
  10:00 コドモパーティーIII／宮城  #4023
  10:00 シュガーパイ・バップ・ナイト／岡山  #6543
  10:00 セックスマシーン!!／大阪  #5251
  10:00 センチメンタル・シティ・ロマンス／東京  #6085
  10:00 トンボコープ／宮城  #3886
  10:00 ドミコ／愛知  #4356
  10:00 モーニング娘。’26／静岡  #3422
  10:00 世が世なら!!!／愛知  #4553
  10:00 中村雅俊／京都  #1634
  10:00 佐野元春&THE COYOTE BAND／北海道（先行）  #3117
  10:00 可憐なアイボリー／兵庫  #4797
  10:00 可憐なアイボリー／東京  #4797
  10:00 吉川晃司／東京  #6396
  10:00 和-IZUMI-／Beadroads／愛知  #5736
  10:00 堂島孝平／香川  #4518
  10:00 夜の本気ダンス／千葉  #3892
  10:00 夜の本気ダンス／栃木  #3892
  10:00 夜の本気ダンス／神奈川  #3892
  10:00 夜の本気ダンス／東京  #3892
  10:00 夜の本気ダンス／宮城  #3892
  10:00 夜の本気ダンス／石川  #3892
  10:00 夜の本気ダンス／大阪  #3892
  10:00 夜の本気ダンス／兵庫  #3892
  10:00 夜の本気ダンス／福岡  #3892
  10:00 奇妙礼太郎BAND／愛知  #4514
  10:00 奇妙礼太郎BAND／大阪  #4514
  10:00 奇妙礼太郎BAND／福岡  #4514
  10:00 奇妙礼太郎BAND／宮城  #4514
  10:00 宝くじ文化公演「オーケストラで歌う青春ときめきラブソング」／富山  #3883
  10:00 小椋佳／愛媛  #591
  10:00 徳永英明／岩手  #3053
  10:00 杉山清貴／宮城  #2254
  10:00 杉山清貴／新潟  #2254
  10:00 杉山清貴／埼玉  #2254
  10:00 杉山清貴／東京  #2254
  10:00 東京花嫁/マキナ/曇りのち、/蜈蚣/THE_PiTY./シンギュラリティ／東京都  #6197
  10:00 松任谷由実／愛知  #4092
  10:00 森高千里／山梨  #2990
  10:00 森高千里／長野  #2990
  10:00 森高千里／新潟  #2990
  10:00 極悪華麗GIG#56／東京都  #6054
  10:00 水上クリニック／My Lonely Vacation／ヒヨナリ／VERRE／／大阪府  #5989
  10:00 海援隊／長野  #3878
  10:00 渡辺満里奈／東京  #3893
  10:00 福士誠治／東京都  #6047
  10:00 竹原ピストル／宮城  #571
  10:00 終活クラブ/セックスマシーン!!／大阪府  #6055
  10:00 荒谷翔大／福岡  #4046
  10:00 荒谷翔大／東京  #4046
  10:00 藤原大祐／東京  #6401
  10:00 藤原大祐／大阪  #6401
  10:00 語りのバンドマン 2026／大阪  #3880
  10:00 銀河鉄道の夜 タケカワユキヒデ with SUZUKIカルテット／愛知  #5749
  10:00 ＲＥＳＵＲＲＥＣＴＩＯＮ／東京  #1226
  12:00 おしゃぶり。／マキナ／THE_PiTY.／水上クリニック／あの子の部屋のカレ／東京都  #6021
  12:00 きゅるりんってしてみて／神奈川  #6541
  12:00 惡ノ夢／東京都  #6001
  12:00 東京スカパラダイスオーケストラ／島根（先行）  #4236
  14:00 ハオ／東京都  #6193
  17:00 Little Glee Monster／茨城  #3488
  17:00 Little Glee Monster／東京  #3488
  17:00 Little Glee Monster／北海道  #3488
  17:00 Little Glee Monster／長野  #3488
  17:00 Little Glee Monster／石川  #3488
  17:00 Little Glee Monster／熊本  #3488
  17:00 Little Glee Monster／福岡  #3488
  17:00 Little Glee Monster／岡山  #3488
  17:00 Little Glee Monster／広島  #3488
  21:00 上田タカヒロ／東京都（先行）  #6048
  21:00 上田タカヒロ／大阪府（先行）  #6048
  21:00 古正寺恵巳生誕ライブ2026／東京都  #6066
  22:00 RAY ONE-MAN LIVE「#MOD_moment」／東京  #6602

【クラシック】40件
  10:00 CHRISTMAS CONCERT 2026／大阪  #6616
  10:00 びわ湖ホール声楽アンサンブル／京都  #5224
  10:00 ウィーン・ヨハン・シュトラウス管弦楽団 ウィンナワルツ・ニューイヤー・コンサ／神奈川（先行）  #4719
  10:00 エマニュエル・パユ&吉野直子 デュオ・リサイタル／埼玉  #5552
  10:00 オーケストラで聴くアニメ音楽の世界～ディズニー・ジブリ・日本アニメの傑作選～／福島  #3913
  10:00 オーケストラ・アンサンブル金沢 第20回記念能美市ファミリーコンサート／石川  #5553
  10:00 デジュー・ラーンキ（p）／東京（先行）  #5561
  10:00 ヘンデル「メサイア」全曲／神奈川  #6170
  10:00 ライナー・ホーネック（vl）／菊池洋子（p）／静岡  #3916
  10:00 三村奈々恵（mrb、vib）／東京  #4859
  10:00 中村恵理（S）／東京（先行）  #5562
  10:00 京都市交響楽団／大阪  #1863
  10:00 加藤昌則の『うた』の世界／東京（先行）  #5559
  10:00 務川慧悟（p）／福岡  #3915
  10:00 南大阪オカリナフェスタ2026／大阪  #3888
  10:00 大河ドラマ「豊臣兄弟!」コンサート／東京  #3914
  10:00 守山市民ホール開館40周年記念公演 びわ湖ホールプロデュースオペラ モーツァ／滋賀  #5554
  10:00 小井土文哉ピアノリサイタル Vol.4／岩手  #5680
  10:00 山陰フィルわくわくファミリーコンサート in グラントワ／島根  #6455
  10:00 新日本フィルハーモニー交響楽団／東京  #5725
  10:00 新日本フィルハーモニー交響楽団 #45 すみだクラシックへの扉／東京  #5650
  10:00 新日本フィルハーモニー交響楽団 特別演奏会 DS presents 名曲で巡／東京  #5761
  10:00 新日本フィルハーモニー交響楽団 特別演奏会 DS presents 崔 文洙／東京  #5760
  10:00 新日本フィルハーモニー交響楽団 特別演奏会 『スイート・バレンタイン・コンサ／東京  #5759
  10:00 新日本フィルハーモニー交響楽団 第674回定期演奏会〈サントリーホール・シリ／東京  #5757
  10:00 新日本フィルハーモニー交響楽団 第674回定期演奏会〈トリフォニーホール・シ／東京  #5651
  10:00 新日本フィルハーモニー交響楽団 第675回定期演奏会〈サントリーホール・シリ／東京  #5758
  10:00 新日本フィルハーモニー交響楽団 第675回定期演奏会〈トリフォニーホール・シ／東京  #5652
  10:00 東海林茉奈ピアノリサイタル オール・ショパン・プログラム／東京  #6348
  10:00 神韻日本公演2027／京都  #5675
  10:00 神韻日本公演2027／愛知  #5675
  10:00 神韻日本公演2027／兵庫  #5675
  10:00 神韻日本公演2027／大阪  #5675
  10:00 神韻日本公演2027／埼玉  #5675
  10:00 神韻日本公演2027／神奈川  #5675
  10:00 神韻日本公演2027／東京  #5675
  10:00 秋川雅史（T）／愛知  #2471
  10:00 第40回記念津山第九演奏会／岡山  #4852
  10:00 葵トリオ／東京（先行）  #5558
  10:00 野村萬斎&オーケストラ・アンサンブル金沢 「真夏の夜の夢」／静岡  #4855

【お笑い】27件
  10:00 IMM THEATER 寄席／東京  #6097
  10:00 お同期さん／東京  #6100
  10:00 ななまがり漫才単独公演 ななまんざい 第五回／東京  #6313
